"lang" 
{ 
"Language" "Svenska (Swedish)" 
"Weapon_fa_jae700_short"			"JAE-700"
"Weapon_fa_m16a4_short"				"M16A4"
"Weapon_fa_m16a4_carryhandle_short"				"M16A4"
"Weapon_fa_m92fs_short"				"M92FS"
"Weapon_fa_mac10_short"				"MAC-10"
"Weapon_fa_mkiii_short"				"Ruger MKIII"
"Weapon_fa_mp5a3_short"				"MP5A4"
"Weapon_fa_sako85_short"			"Sako 85"
"Weapon_fa_sks_short"				"SKS"
"Weapon_fa_superx3_short"			"Super X3"
"Weapon_fa_sv10_short"				"SV10"
"Weapon_fa_sw686_short"				"S&W 686"
"Weapon_fa_winchester1892_short"		"Win. 1892"
"Weapon_item_bandages_short"			"Bandage"
"Weapon_item_maglite_short"			"Maglite"
"Weapon_item_pills_short"			"Piller"
"Weapon_item_first_aid_short"			"Första Hjälpen"
"Weapon_item_gene_therapy_short"	"Gene Therapy"
"Weapon_item_walkietalkie_short"		"Walkie Talkie"
"Weapon_me_axe_fire_short"			"Brandyxa"
"Weapon_me_bat_metal_short"			"Slagträ"
"Weapon_me_abrasivesaw_short" "Slip sågen"
"Weapon_me_chainsaw_short"			"Motorsåg"
"Weapon_me_crowbar_short"			"Kofot"
"Weapon_me_cleaver_short"			"Köttyxa"
"Weapon_me_etool_short"				"E-Tool"
"Weapon_me_fubar_short"				"Fubar"
"Weapon_me_hatchet_short"			"Handyxa"
"Weapon_me_kitknife_short"			"Kökskniv"
"Weapon_me_machete_short"			"Machete"
"Weapon_me_pipe_lead_short"			"Järnrör"
"Weapon_me_shovel_short"			"Spade"
"Weapon_me_sledge_short"			"Slägga"
"Weapon_me_wrench_short"			"Skiftnyckel"
"Weapon_tool_barricade_short"		"Barr. Verktyg"
"Weapon_tool_extinguisher_short"	"Brandsläckare."
"Weapon_tool_flare_gun_short"		"Signalpistol"
"Weapon_tool_welder_short"			"Svets"

"ammobox_9mm_short"				"9mm"
"ammobox_45ACP_short"			".45 ACP"
"ammobox_357_short"				".357"
"ammobox_12gauge_short"			"12 Gauge"
"ammobox_22LR_short"			".22 LR"
"ammobox_308_short"				".308"
"ammobox_556_short"				"5.56mm"
"ammobox_762mm_short"			"7.62x39"
"ammobox_grenades_short"		"Granater"
"ammobox_molotov_short"			"Molotover"
"ammobox_tnt_short"				"TNT"
"ammobox_fuel_short"			"Bränsle"
"ammobox_arrow_short"			"Pilar"
"ammobox_board_short"			"Brädor"
"ammobox_flare_short"			"Lysgranater"
} 
}  

//Translated by Vilkz
