"lang" 
{ 
"Language" "Polish" 
"Weapon_fa_870_short"				"Rem. 870"
"Weapon_fa_1022_short"				"Ruger 10/22"
"Weapon_fa_1911_short"				"Colt 1911"
"Weapon_fa_cz858_short"				"CZ858"
"Weapon_fa_fnfal_short"				"FN FAL"
"Weapon_fa_glock17_short"			"Glock 17"
"Weapon_fa_jae700_short"			"JAE-700"
"Weapon_fa_m16a4_short"				"M16A4"
"Weapon_fa_m16a4_carryhandle_short"				"M16A4"
"Weapon_fa_m92fs_short"				"M92FS"
"Weapon_fa_mac10_short"				"MAC-10"
"Weapon_fa_mkiii_short"				"Ruger MKIII"
"Weapon_fa_mp5a3_short"				"MP5A4"
"Weapon_fa_sako85_short"			"Sako 85"
"Weapon_fa_sks_short"				"SKS"
"Weapon_fa_superx3_short"			"Super X3"
"Weapon_fa_sv10_short"				"SV10"
"Weapon_fa_sw686_short"				"S&W 686"
"Weapon_fa_winchester1892_short"		"Win. 1892"
"Weapon_item_bandages_short"			"Bandaże"
"Weapon_item_maglite_short"			"Latarka"
"Weapon_item_pills_short"			"Tabletki"
"Weapon_item_first_aid_short"			"Apteczka"
"Weapon_item_gene_therapy_short"	"Gene Therapy"
"Weapon_item_walkietalkie_short"		"Walkie Talkie"
"Weapon_me_axe_fire_short"			"Siekiera"
"Weapon_me_bat_metal_short"			"Baseball"
"Weapon_me_abrasivesaw_short" "Piła ścierny"
"Weapon_me_chainsaw_short"			"Piła łańcuchowa"
"Weapon_me_crowbar_short"			"Łom"
"Weapon_me_cleaver_short"			"Tasak"
"Weapon_me_etool_short"				"E-Tool"
"Weapon_me_fubar_short"				"Fubar"
"Weapon_me_hatchet_short"			"Toporek"
"Weapon_me_kitknife_short"			"Nóż kuchenny"
"Weapon_me_machete_short"			"Maczeta"
"Weapon_me_pipe_lead_short"			"Rurka"
"Weapon_me_shovel_short"			"Łopata"
"Weapon_me_sledge_short"			"Młot"
"Weapon_me_wrench_short"			"Klucz francuski"
"Weapon_tool_barricade_short"		"Barr. Tool"
"Weapon_tool_extinguisher_short"	"Fire Exting."
"Weapon_tool_flare_gun_short"		"Flare Gun"
"Weapon_tool_welder_short"			"Spawarka"

"ammobox_9mm_short"				"9mm"
"ammobox_45ACP_short"			".45 ACP"
"ammobox_357_short"				".357"
"ammobox_12gauge_short"			"12 Gauge"
"ammobox_22LR_short"			".22 LR"
"ammobox_308_short"				".308"
"ammobox_556_short"				"5.56mm"
"ammobox_762mm_short"			"7.62x39"
"ammobox_grenades_short"		"Granaty"
"ammobox_molotov_short"			"Koktajl Mołotowa"
"ammobox_tnt_short"				"TNT"
"ammobox_fuel_short"			"Paliwo"
"ammobox_arrow_short"			"Strzały"
"ammobox_board_short"			"Deski"
"ammobox_flare_short"			"Flary"
} 
}  
//Credit to Alex "Castiel" Wawroski
