"lang" 
{ 
"Language" "Ukrainian" 
"Weapon_fa_1022_short"				"Рюґер 10/22"
"Weapon_fa_1911_short"				"Кольт 1911"
"Weapon_fa_cz858_short"				"CZ858"
"Weapon_fa_fnfal_short"				"FN FAL"
"Weapon_fa_glock17_short"			"Ґлок 17"
"Weapon_fa_m16a4_short"				"M16A4"
"Weapon_fa_m16a4_carryhandle_short"				"M16A4"
"Weapon_fa_m92fs_short"				"M92FS"
"Weapon_fa_mac10_short"				"MAC-10"
"Weapon_fa_mkiii_short"				"Рюґер MKIII"
"Weapon_fa_mp5a3_short"				"MP5A4"
"Weapon_fa_sako85_short"			"Сако 85"
"Weapon_fa_sks_short"				"SKS"
"Weapon_fa_superx3_short"			"Super X3"
"Weapon_fa_sv10_short"				"SV10"
"Weapon_fa_sw686_short"				"S&W 686"
"Weapon_fa_winchester1892_short"		"Ґвин. 1892"
"Weapon_item_bandages_short"			"Бинти"
"Weapon_item_maglite_short"			"Ліхтар"
"Weapon_item_pills_short"			"Таблетки"
"Weapon_item_first_aid_short"			"Аптечка"
"Weapon_item_gene_therapy_short"	"Gene Therapy"
"Weapon_item_walkietalkie_short"		"Рація"
"Weapon_me_axe_fire_short"			"Сокира"
"Weapon_me_bat_metal_short"			"Битка"
"Weapon_me_abrasivesaw_short" "абразивний пила"
"Weapon_me_chainsaw_short"			"Бензопила"
"Weapon_me_crowbar_short"			"Лом"
"Weapon_me_cleaver_short"			"м'ясорубка"
"Weapon_me_hatchet_short"			"Томагавк"
"Weapon_me_kitknife_short"			"Ніж"
"Weapon_me_machete_short"			"Мачете"
"Weapon_me_pipe_lead_short"			"Труба"
"Weapon_me_shovel_short"			"Лопата"
"Weapon_me_fubar_short"			"FUBAR"
"Weapon_me_etool_short"			"E-TOOL"
"Weapon_me_sledge_short"			"Молот"
"Weapon_me_wrench_short"			"Гайк. ключ"
"Weapon_tool_barricade_short"		"Молоток"
"Weapon_tool_extinguisher_short"	"Вогнегас."
"Weapon_tool_flare_gun_short"		"Ракетниця"
"Weapon_tool_welder_short"			"Пальник"

"ammobox_9mm_short"				"9мм"
"ammobox_45ACP_short"			".45 ACP"
"ammobox_357_short"				".357"
"ammobox_12gauge_short"			"12 Gauge"
"ammobox_22LR_short"			".22 LR"
"ammobox_308_short"				".308"
"ammobox_556_short"				"5.56мм"
"ammobox_762mm_short"			"7.62x39"
"ammobox_grenades_short"		"Гранати"
"ammobox_molotov_short"			"Молотови"
"ammobox_tnt_short"				"Вибухівка"
"ammobox_fuel_short"			"Паливо"
"ammobox_arrow_short"			"Стріла"
"ammobox_board_short"			"Дошка"
"ammobox_flare_short"			"Ракети"
} 
}  
