"lang" 
{ 
"Language" "Русский (Russian)" 
"Tokens" 
{ 

"NMRiH_Map_Time"			"Времени на уровень"
"Round_PlayerShortage"			"Недостаточно игроков для начала раунда"

"Item_Received"				"Игрок %s1 передал вам предмет %s2."
"Item_TargetOwns"			"У игрока %s1 уже есть предмет %s2."
"Item_TargetFull"			"У игрока %s1 нет места для этого предмета."

"Watermelon_Rescued"			"Арбуз спасён! Все игроки получают по %s1 очк."

"Map_Time_Extended"			"Время на уровень увеличено на %s1 минут."

"VersionEmulation_Notice"		"Этот сервер эмулирует игру версии %s1"
"VersionEmulation_Disclaimer"	"Некоторые функции могут отсутствовать, а также могут присутствовать ошибки."

// Префикс в чате (Voice)
"Voice"					"Говорит"

"NMRiH_VoiceCommand_Ammo"		"Нужны патроны"
"NMRiH_VoiceCommand_Follow"		"Следуй за мной"
"NMRiH_VoiceCommand_Help"		"На помощь!"
"NMRiH_VoiceCommand_Stay"		"Стой здесь"
"NMRiH_VoiceCommand_No"			"Нет"
"NMRiH_VoiceCommand_Yes"		"Да"
"NMRiH_VoiceCommand_ThankYou"		"Спасибо"
"NMRiH_VoiceCommand_Incoming"		"Наступают"
"NMRiH_VoiceCommand_Injured"		"Меня ранили"
"NMRiH_VoiceCommand_Taunt"		"Оскорбление"

// Radio and chat strings can have control characters embedded to set colors.  For the control characters to be used, one must be at the start of the string.
// The control characters can be copied and pasted in notepad.
//  = 0x02 (STX) - Use team color up to the end of the player name.  This only works at the start of the string, and precludes using the other control characters.
//  = 0x03 (ETX) - Use team color from this point forward
//  = 0x04 (EOT) - Use location color from this point forward
//  = 0x05 (ENQ) - Use achievement color from this point forward
//  = 0x01 (SOH) - Use normal color from this point forward
"SDK_Chat_Team"				"(КОМАНДЕ) %s1: %s2"
"SDK_Chat_Team_Dead"			"*МЁРТВ* (КОМАНДЕ) %s1: %s2"
"SDK_Chat_Spec"				"(Наблюдатель) %s1: %s2"
"SDK_Chat_All"				"%s1: %s2"
"SDK_Chat_All_Dead"			"(МЁРТВ) %s1: %s2"
"SDK_Chat_All_Spec"			"(НАБЛ) %s1: %s2"

"SDK_Team_Unassigned"			"Не назначены"
"SDK_Team_Spectator"			"Наблюдатели"

"Chat_Admin"				"(АДМИН) "
"Chat_Dead"				"(Мёртв) %s: "
"Chat_Spec"				"(Набл) %s: "
"Chat_Prefix"				"%s: "
"Chat_Extracted"			"(Спасён) %s: "

"Chat_Connected"			"%s1 присоединяется к игре"
"Chat_Disconnected"			"%s1 покидает игру (%s2)"
"Chat_Team"				"%s1 выбирает команду: %s2"
"Chat_Name"				"%s1 меняет имя на %s2"
"Chat_Command"				"Переменная сервера «%s1» была изменена на %s2\n"

"Respawn_Minutes"			"Возрождение через %s1 мин."
"Respawn_Seconds"			"Возрождение через %s1 сек."
"Respawn_Now"				"Возрождение..."

"Survival_Round_Lost"			"Вы не выжили"

"PlayerAlive"				"Состояние"
"PlayerAlive_Alive"			"В ЖИВЫХ"
"PlayerAlive_Dead"			"МЁРТВ"
"PlayerAlive_Extracted"			"СПАСЁН"
"PlayerRespawns"			"Возрождения"

"Radial_ammo"				"Патроны"

"Weapon_bow_deerhunter"			"Охотничий лук"
"Weapon_exp_grenade"			"Граната M67"
"Weapon_exp_molotov"			"Коктейль Молотова"
"Weapon_exp_tnt"			"Взрывчатка"
"Weapon_fa_500a"			"«Моссберг 500a»"
"Weapon_fa_870"				"«Ремингтон 870»"
"Weapon_fa_1022"			"«Ругер 10/22»"
"Weapon_fa_1022_25mag"			"«Ругер 10/22» с расширенным магазином"
"Weapon_fa_1911"			"«Кольт 1911»"
"Weapon_fa_cz858"			"CZ858"
"Weapon_fa_fnfal"			"FN FAL"
"Weapon_fa_glock17"			"«Глок 17»"
"Weapon_fa_jae700"			"JAE-700"
"Weapon_fa_m16a4"			"M16A4"
"Weapon_fa_m16a4_carryhandle"		"M16A4 с ручкой для переноски"
"Weapon_fa_m92fs"			"«Беретта M92FS»"
"Weapon_fa_mac10"			"MAC-10"
"Weapon_fa_mp5a4"			"HK MP5A4"
"Weapon_fa_mkiii"			"«Ругер MKIII»"
"Weapon_fa_sako85"			"«Зако 85»"
"Weapon_fa_sako85_ironsights"		"«Зако 85» без прицела"
"Weapon_fa_sks"				"СКС"
"Weapon_fa_sks_nobayo"			"СКС без штыка"
"Weapon_fa_superx3"			"Super X3"
"Weapon_fa_sv10"			"SV10"
"Weapon_fa_sw686"			"S&W 686"
"Weapon_fa_winchester1892"	        "«Винчестер 1892»"
"Weapon_item_bandages"			"Бинты"
"Weapon_item_maglite"			"Фонарь"
"Weapon_item_pills"			"Таблетки «Фаланкс»"
"Weapon_item_first_aid"			"Аптечка"
"Weapon_item_gene_therapy"		"Вакцина"
"Weapon_item_walkietalkie"		"Рация"
"Weapon_me_axe_fire"			"Пожарный топор"
"Weapon_me_bat_metal"			"Бейсбольная бита"
"Weapon_me_abrasivesaw" 		"Абразивная пила"
"Weapon_me_chainsaw"			"Бензопила"
"Weapon_me_crowbar"			"Монтировка"
"Weapon_me_cleaver"			"Мясницкий нож"
"Weapon_me_etool"			"Сапёрная лопатка"
"Weapon_me_fubar"			"Фубар"
"Weapon_me_hatchet"			"Топорик"
"Weapon_me_kitknife"			"Кухонный нож"
"Weapon_me_machete"			"Мачете"
"Weapon_me_pickaxe"			"Кирка"
"Weapon_me_pipe_lead"			"Свинцовая труба"
"Weapon_me_shovel"			"Лопата"
"Weapon_me_sledge"			"Кувалда"
"Weapon_me_wrench"			"Гаечный ключ"
"Weapon_tool_barricade"			"Баррикадный молоток"
"Weapon_tool_extinguisher"		"Огнетушитель"
"Weapon_tool_flare_gun"			"Ракетница"
"Weapon_tool_welder"			"Сварочный аппарат"

"ammobox_9mm"				"9-мм"
"ammobox_45ACP"				".45 ACP"
"ammobox_357"				".357"
"ammobox_12gauge"			"12 калибр"
"ammobox_22LR"				".22 LR"
"ammobox_308"				".308"
"ammobox_556"				"5.56-мм"
"ammobox_762mm"				"7.62x39"
"ammobox_grenades"			"Граната"
"ammobox_molotov"			"Молотов"
"ammobox_tnt"				"Взрывчатка"
"ammobox_arrow"				"Стрелы"
"ammobox_fuel"				"Горючее"
"ammobox_board"				"Доски"
"ammobox_flare"				"Ракеты"

"Weapon_bow_deerhunter_short"		"Лук"
"Weapon_exp_grenade_short"		"Граната"
"Weapon_exp_molotov_short"		"Молотов"
"Weapon_exp_tnt_short"			"Взрывчатка"
"Weapon_fa_500a_short"			"«Мосс. 500a»"
"Weapon_fa_870_short"			"«Рем. 870»"
"Weapon_fa_1022_short"			"«Ругер 10/22»"
"Weapon_fa_1022_25mag_short"		"«Ругер 10/22»;25 маг."
"Weapon_fa_1911_short"			"«Кольт 1911»"
"Weapon_fa_cz858_short"			"CZ858"
"Weapon_fa_fnfal_short"			"FN FAL"
"Weapon_fa_glock17_short"		"«Глок 17»"
"Weapon_fa_jae700_short"		"JAE-700"
"Weapon_fa_m16a4_short"			"M16A4"
"Weapon_fa_m16a4_carryhandle_short"	"M16A4 с ручкой"
"Weapon_fa_m92fs_short"			"M92FS"
"Weapon_fa_mac10_short"			"MAC-10"
"Weapon_fa_mkiii_short"			"«Ругер MKIII»"
"Weapon_fa_mp5a3_short"			"MP5A4"
"Weapon_fa_sako85_short"		"«Зако 85»"
"Weapon_fa_sako85_ironsights_short"	"«Зако 85» без прицела"
"Weapon_fa_sks_short"			"СКС"
"Weapon_fa_sks_nobayo_short"		"СКС без штыка"
"Weapon_fa_superx3_short"		"Super X3"
"Weapon_fa_sv10_short"			"SV10"
"Weapon_fa_sw686_short"			"S&W 686"
"Weapon_fa_winchester1892_short"	"«Вин. 1892»"
"Weapon_item_bandages_short"		"Бинты"
"Weapon_item_maglite_short"		"Фонарь"
"Weapon_item_pills_short"		"Таблетки"
"Weapon_item_first_aid_short"		"Аптечка"
"Weapon_item_gene_therapy_short"	"Вакцина"
"Weapon_item_walkietalkie_short"	"Рация"
"Weapon_me_abrasivesaw_short" 		"Абразивная пила"
"Weapon_me_axe_fire_short"		"Топор"
"Weapon_me_bat_metal_short"		"Бита"
"Weapon_me_chainsaw_short"		"Бензопила"
"Weapon_me_crowbar_short"		"Монтировка"
"Weapon_me_cleaver_short"		"Мясницкий нож"
"Weapon_me_etool_short"			"Сапёр. лопат."
"Weapon_me_fubar_short"			"Фубар"
"Weapon_me_hatchet_short"		"Топорик"
"Weapon_me_kitknife_short"		"Нож"
"Weapon_me_machete_short"		"Мачете"
"Weapon_me_pickaxe_short"		"Кирка"
"Weapon_me_pipe_lead_short"		"Труба"
"Weapon_me_shovel_short"		"Лопата"
"Weapon_me_sledge_short"		"Кувалда"
"Weapon_me_wrench_short"		"Гаеч. ключ"
"Weapon_tool_barricade_short"		"Молоток"
"Weapon_tool_extinguisher_short"	"Огнетуш."
"Weapon_tool_flare_gun_short"		"Ракетница"
"Weapon_tool_welder_short"		"Сварка"

"ammobox_9mm_short"			"9-мм"
"ammobox_45ACP_short"			".45 ACP"
"ammobox_357_short"			".357"
"ammobox_12gauge_short"			"12 кал."
"ammobox_22LR_short"			".22 LR"
"ammobox_308_short"			".308"
"ammobox_556_short"			"5.56-мм"
"ammobox_762mm_short"			"7.62x39"
"ammobox_grenades_short"		"Граната"
"ammobox_molotov_short"			"Молотов"
"ammobox_tnt_short"			"Взрывчатка"
"ammobox_fuel_short"			"Горючее"
"ammobox_arrow_short"			"Стрелы"
"ammobox_board_short"			"Доски"
"ammobox_flare_short"			"Ракеты"


"Suicide_worldspawn"			"%s1 погибает."
"Suicide_player"			"%s1 совершает самоубийство."
"Suicide_infection"			"%s1 умирает от заражения."
"Suicide_bleed"				"%s1 умирает от кровотечения."
"Suicide_fall"				"%s1 разбивается."
"Suicide_drowned"			"%s1 утонул."
"Suicide_nuke"				"%s1 погибает от ядерного взрыва."
"Suicide_disconnect"	"%s1 покидает игру."

"DeathNotice_NPC_ShamblerZombie"	"Зомби"
"DeathNotice_NPC_RunnerZombie"		"Бегущий зомби"
"DeathNotice_NPC_KidZombie"		"Зомби-ребёнок"
"DeathNotice_NPC_TurnedZombie"		"Обращённый зомби"

"ChallengeTimer_PersonalBest"		"ЛИЧНЫЙ РЕКОРД"
"ChallengeTimer_NoTime"			"НЕТ"
"ChallengeTimer_NewRecord"		"НОВЫЙ РЕКОРД!"

"ChallengeInvalid"			"Результаты испытания недействительны!"
"ChallengeReject_Cheats"		"Были включены читы."
"ChallengeReject_CvarChanged"		"Консольные переменные были изменены во время игры."
"ChallengeReject_ModifiedRuleset"	"Модифицированы сложность / режим."
"ChallengeReject_OutsideMapHack"	"Был загружен пользовательский скрипт MapHack."
"ChallengeReject_OutsideVScript"	"Был запущен пользовательский скрипт VScript."
"ChallengeReject_LateValidate"		"Проверка результатов была включена слишком поздно."
"ChallengeReject_GameStateCommand"	"Были использованы команды энтити «nmrih_game_state»."
"ChallengeReject_VersionEmulation"	"Эмуляция версии включена."

"Hint_Generic_Compass" 			"Используйте компас для поиска подсказок! Нажмите клавишу %+compass%."
"Hint_Generic_CheckAmmo" 		"Зажав клавишу %+reload%, вы сможете проверить количество патронов."
"Hint_Generic_CheckInventory" 		"Зажав клавишу %+inventory%, вы сможете посмотреть свой инвентарь и выбрать оружие."
"Hint_Generic_AmmoInventory" 		"Зажав клавишу %+ammoinv%, вы сможете открыть меню боеприпасов и поделиться ими с другими игроками."
"Hint_Generic_VoiceCommand" 		"Вы можете использовать голосовые команды для общения с вашей командой! Для этого зажмите клавишу %+voicecmd% — откроется меню голосовых команд."
"Hint_Generic_Infected" 		"Если вокруг границ экрана появляются вены и темнеет в глазах, то вы заражены."
"Hint_Generic_Bleeding" 		"Если ваш персонаж кряхтит, появляется кровавая вспышка у границ экрана и из тела бежит кровь, то у вас кровотечение."
"Hint_Generic_LowHealth" 		"Если цвета на экране потускнели — у вас осталось мало здоровья."
"Hint_Generic_Pills" 			"Используйте таблетки, чтобы остановить заражение на несколько минут."
"Hint_Generic_Bandages" 		"Для остановки кровотечения — используйте бинты."
"Hint_Generic_FirstAid" 		"Используйте аптечку, когда у вас малый запас здоровья."

"Hint_Advanced_Shamblers" 		"Зажимайте клавишу %+attack% на несколько секунд, держа в руках оружие ближнего боя, чтобы сразу убить обычного зомби. Не зажимайте слишком долго, иначе потратится много выносливости."
"Hint_Advanced_Shove" 			"Всегда отталкивайте зомби с помощью клавиши %+shove% после удара оружием ближнего боя. Так вы избежите любых повреждений."
"Hint_Advanced_MemorizeAmmo" 		"Запоминайте, какие боеприпасы соответствуют каждому огнестрельному оружию."
"Hint_Advanced_DontHoard" 		"Не копите боеприпасы, которые вы не можете использовать у себя в инвентаре. Поделитесь ими с другими игроками, имеющие совместимое огнестрельное оружие."
"Hint_Advanced_ConserveAmmo" 		"Берегите свои боеприпасы. Огнестрельное оружие следует использовать в чрезвычайных ситуациях."
"Hint_Advanced_RunnerTrick" 		"Бегущие зомби или зомби-дети бегут за вами? Не останавливайтесь, старайтесь постоянно двигаться."
"Hint_Advanced_ObjectiveVariation" 	"Карты в режиме «Прохождение» имеют случайные цепочки заданий. Запоминайте их, чтобы было легче проходить карту."
"Hint_Advanced_FocusOnObjective" 	"Избегайте ненужного убийства зомби при игре на картах в режиме «Прохождение», если в этом нет необходимости. Сосредоточьтесь на выполнении заданий."
"Hint_Advanced_JumpToAvoidGrab" 	"Прыжки не дают зомби схватить вас. Используйте это, чтобы уклоняться от толпы зомби."
"Hint_Advanced_InfectionDuration" 	"Если вы заражены, у вас есть около 2 минут, пока вы не превратитесь в ходячий труп!"
"Hint_Advanced_Pills" 			"Таблетки снимают симптомы заражения и задерживают их примерно на 3 минуты."
"Hint_Advanced_PillsInfection" 		"Используйте таблетки, когда становится трудно видеть. Так вы выиграете себе больше времени."
"Hint_Advanced_PillsTiming" 		"Если вы находитесь в опасной ситуации во время заражения, примите таблетки до того, как ваше зрение начнёт тускнеть."
"Hint_Advanced_Medkit" 			"Аптечки восстанавливают одну треть от общего количества запаса здоровья и останавливают кровотечение."
"Hint_Advanced_DontWasteMedkit" 	"Не используйте аптечки, если у вас почти максимальный запас здоровья, только при наличии лишних аптечек."
"Hint_Advanced_DontWasteGeneTherapy" 	"Используйте шприцы генной терапии только при заражении. Если вы воспользуетесь ими раньше и умрёте, они пропадут даром."
"Hint_Advanced_InfectionChance" 	"Чем ниже у вас запас здоровья, тем выше вероятность заражения за один укус."
"Hint_Advanced_InfectionOnlyWhenGrabbed" "Вы можете заразиться, только если вас схватят и укусят."
"Hint_Advanced_Bandages" 		"Бинты восстанавливают одну шестую от общего количества запаса здоровья и останавливают кровотечение. Вы можете использовать их только во время кровотечения."
"Hint_Advanced_Bleeding" 		"Кровотечение медленно снижает количество вашего запаса здоровья, что мешает вам бегать и вынуждает вас тратить больше выносливости для каждого действия."
"Hint_Advanced_Suicide" 		"Вы можете совершить самоубийство с помощью огнестрельного оружия, если вы заражены, чтобы предотвратить «возвращение к жизни» вашего трупа."
"Hint_Advanced_FriendlyFire" 		"Будучи заражённым, вы можете получать урон от других игроков, даже если огонь по своим на сервере отключён."
"Hint_Advanced_ScavengeMedicalItems" 	"Если вы заражены и не доверяете своим напарникам, не просите медикаменты. Найдите их сами!"
"Hint_Advanced_HealthStationStopsBleeding" "Большие аптечки остановят кровотечение, если вы полностью восстановите ваше здоровье."
"Hint_Advanced_StaminaRegen" 		"Стоя на месте, вы быстрее восстановите свою выносливость. Приседание во время движения будет делать то же самое в меньшей степени. Эффекты не складываются."
"Hint_Advanced_StaminaDrain" 		"Атаки, отталкивания, прыжки и бег тратят вашу выносливость."
"Hint_Advanced_LowStaminaVulnerable" 	"Когда у вас мало выносливости, вы чрезвычайно уязвимы. Вы не можете выполнять никаких защитных действий."
"Hint_Advanced_LowStaminaBreathing" 	"Когда у вас мало выносливости, вы услышите, как ваш персонаж сильно задыхается."
"Hint_Advanced_LowStaminaMovement" 	"Когда у вас мало выносливости, прекратите бег. Ваша скорость передвижения будет медленнее, чем при ходьбе в этом состоянии."
"Hint_Advanced_FlareGunSupplies" 	"Выстрелите сигнальной ракетой в небо, играя на карте в режиме «Выживание», чтобы получить дополнительные припасы (один раз за раунд)."

} 
}  

// Swooping Bears http://steamcommunity.com/groups/swooping_bears
// credit of translation contribute to berry https://steamcommunity.com/profiles/76561198158864042
