"lang" 
{ 
"Language" "TChinese" 
"Weapon_me_sledge"		"大槌"
"Weapon_me_wrench"		"活動板手"
"Weapon_tool_barricade"		"釘板榔頭"
"Weapon_tool_extinguisher"	"滅火器"
"Weapon_tool_flare_gun"		"信號槍"
"Weapon_tool_welder"		"焊槍"

"ammobox_9mm"		"9mm"
"ammobox_45ACP"		".45 ACP"
"ammobox_357"		".357"
"ammobox_12gauge"	"12 號口徑霰彈"
"ammobox_22LR"		".22 LR"
"ammobox_308"		".308"
"ammobox_556"		"5.56mm"
"ammobox_762mm"		"7.62x39"
"ammobox_grenades"	"手榴彈"
"ammobox_molotov"	"汽油彈"
"ammobox_tnt"		"TNT"
"ammobox_arrow"		"弓箭"
"ammobox_fuel"		"燃料"
"ammobox_board"		"木板"
"ammobox_flare"		"信號彈"

"Weapon_bow_deerhunter_short"		"PSE 獵鹿者"
"Weapon_exp_grenade_short"		"手榴彈"
"Weapon_exp_molotov_short"		"燃燒彈"
"Weapon_exp_tnt_short"			"TNT"
"Weapon_fa_500a_short"			"Moss. 500a"
"Weapon_fa_870_short"			"Rem. 870"
"Weapon_fa_1022_short"			"儒格 10/22"
"Weapon_fa_1022_25mag_short"		"儒格 10/22 w/25 發"
"Weapon_fa_1911_short"			"科爾特 1911"
"Weapon_fa_cz858_short"			"CZ858"
"Weapon_fa_fnfal_short"			"FN FAL"
"Weapon_fa_glock17_short"		"格洛克 17"
"Weapon_fa_jae700_short"		"JAE-700"
"Weapon_fa_m16a4_short"			"M16A4 w/ACOG"
"Weapon_fa_m16a4_carryhandle_short"	"M16A4 w/提把"
"Weapon_fa_m92fs_short"			"M92FS"
"Weapon_fa_mac10_short"			"MAC-10"
"Weapon_fa_mkiii_short"			"儒格 MKIII"
"Weapon_fa_mp5a3_short"			"MP5A4"
"Weapon_fa_sako85_short"		"沙可 85 (狙擊鏡)"
"Weapon_fa_sako85_ironsights_short"	"沙可 85 (機械瞄具)"
"Weapon_fa_sks_short"			"SKS (刺刀)"
"Weapon_fa_sks_nobayo_short"		"SKS (無刺刀)"
"Weapon_fa_superx3_short"		"Super X3"
"Weapon_fa_sv10_short"			"SV10"
"Weapon_fa_sw686_short"			"S&W 686"
"Weapon_fa_winchester1892_short"	"Win. 1892"
"Weapon_item_bandages_short"		"繃帶"
"Weapon_item_maglite_short"		"手電筒"
"Weapon_item_pills_short"		"膠囊"
"Weapon_item_first_aid_short"		"醫療包"
"Weapon_item_gene_therapy_short"	"基因治療劑"
"Weapon_item_walkietalkie_short"	"對講機"
"Weapon_me_abrasivesaw_short"		"砂輪機"
"Weapon_me_axe_fire_short"		"消防斧"
"Weapon_me_bat_metal_short"		"球棒"
"Weapon_me_chainsaw_short"		"電鋸"
"Weapon_me_crowbar_short"		"鐵撬"
"Weapon_me_cleaver_short"		"切肉刀"
"Weapon_me_etool_short"			"土工器具"
"Weapon_me_fubar_short"			"破壞桿"
"Weapon_me_hatchet_short"		"短柄斧"
"Weapon_me_kitknife_short"		"廚房刀"
"Weapon_me_machete_short"		"開山刀"
"Weapon_me_pickaxe_short"		"十字鎬"
"Weapon_me_pipe_lead_short"		"鉛管"
"Weapon_me_shovel_short"		"鐵鏟"
"Weapon_me_sledge_short"		"大槌"
"Weapon_me_wrench_short"		"活動板手"
"Weapon_tool_barricade_short"		"釘板工具"
"Weapon_tool_extinguisher_short"	"滅火器"
"Weapon_tool_flare_gun_short"		"信號槍"
"Weapon_tool_welder_short"		"焊槍"

"ammobox_9mm_short"		"9mm"
"ammobox_45ACP_short"		".45 ACP"
"ammobox_357_short"		".357"
"ammobox_12gauge_short"		"12 號霰彈"
"ammobox_22LR_short"		".22 LR"
"ammobox_308_short"		".308"
"ammobox_556_short"		"5.56mm"
"ammobox_762mm_short"		"7.62x39"
"ammobox_grenades_short"	"手榴彈"
"ammobox_molotov_short"		"汽油彈"
"ammobox_tnt_short"		"TNT"
"ammobox_fuel_short"		"燃料"
"ammobox_arrow_short"		"弓箭"
"ammobox_board_short"		"木板"
"ammobox_flare_short"		"信號彈"


"Suicide_worldspawn"	"%s1 死亡。"
"Suicide_player"	"%s1 自盡而亡。"
"Suicide_infection"	"%s1 死於感染。"
"Suicide_bleed"		"%s1 失血致死。"
"Suicide_fall"		"%s1 死於墜落。"
"Suicide_drowned"	"%s1 遭到溺斃。"
"Suicide_nuke"		"%s1 死於核爆。"
"Suicide_disconnect"	"%s1 離開遊戲。"

"DeathNotice_NPC_ShamblerZombie"	"殭屍"
"DeathNotice_NPC_RunnerZombie"		"奔跑殭屍"
"DeathNotice_NPC_KidZombie"		"孩童殭屍"
"DeathNotice_NPC_TurnedZombie"		"轉化殭屍"

"ChallengeTimer_PersonalBest"	"個人最佳"
"ChallengeTimer_NoTime"		"無時間"
"ChallengeTimer_NewRecord"	"新紀錄！"

"ChallengeInvalid"	"挑戰結果無效！"
"ChallengeReject_Cheats"		"曾啟用作弊。"
"ChallengeReject_CvarChanged"		"在遊戲中途曾更動遊戲性控制台參數。"
"ChallengeReject_ModifiedRuleset"	"自訂難易度 / 規則設定。"
"ChallengeReject_OutsideMapHack"	"讀取到自訂 MapHack。"
"ChallengeReject_OutsideVScript"	"執行到自訂 VScript。"
"ChallengeReject_LateValidate"		"驗證未及時啟用。"
"ChallengeReject_GameStateCommand"	"曾使用遊戲狀態控制台指令。"
"ChallengeReject_VersionEmulation"	"啟動版本模擬。"

"Hint_Generic_Compass"		"檢查指示取得方向與任務目標資訊！請按 %+compass%。"
"Hint_Generic_CheckAmmo"	"持續按住 %+reload% 鍵可以檢查彈藥。"
"Hint_Generic_CheckInventory"	"持續按住 %+inventory% 可以檢視道具欄與武器裝備。"
"Hint_Generic_AmmoInventory"	"持續按住 %+ammoinv% 可以開啟彈藥選單與其他玩家分享彈藥。"
"Hint_Generic_VoiceCommand"	"可以使用語音指令與同伴溝通！按住 %+voicecmd% 來開啟語音選單。"
"Hint_Generic_Infected"		"遭受感染時，螢幕周圍會長出血絲，且視線會逐漸虛弱。"
"Hint_Generic_Bleeding"		"血流不止時，角色會發出呻吟，畫面周圍會出現閃爍，且您身後會留下一條血跡。"
"Hint_Generic_LowHealth"	"當生命值低落時螢幕會開始失去色彩。"
"Hint_Generic_Pills"		"膠囊可以暫緩感染多爭取幾分鐘的時間，前提是您要找得到。"
"Hint_Generic_Bandages"		"血流不止時，可以使用繃帶來止血。"
"Hint_Generic_FirstAid"		"若生命值低落，可以使用醫療包來恢復。"

"Hint_Advanced_Shamblers"			"舉起武器為攻擊蓄力幾秒。不要太久，不然會消耗多餘的體力。每一把武器都會有各自的時機要抓。"
"Hint_Advanced_Shove"				"剛加入遊戲時，建議在每一次近身攻擊後按下 %+shove% 鍵將殭屍推開。這可以減少遭受攻擊的可能。"
"Hint_Advanced_MemorizeAmmo"			"記熟不同的槍械所使用的彈藥類型。"
"Hint_Advanced_DontHoard"			"不要把自己用不到的彈藥囤在自己身上。把它們讓給使用對應槍械的同伴們。"
"Hint_Advanced_ConserveAmmo"			"省點子彈。遇上成群的跑屍，或是路被成堆的蹣步者阻擋時，都是需要用槍的緊急時刻。"
"Hint_Advanced_RunnerTrick"			"跑屍或孩童很難纏嗎？試試看保持前進不要停。"
"Hint_Advanced_ObjectiveVariation"		"目標地圖會隨機變化。記得各種路徑可以增加您存活的機會。"
"Hint_Advanced_FocusOnObjective"		"在目標地圖中，除非有必要否則不要專注在殺殭屍。完成目標才是重點。"
"Hint_Advanced_JumpToAvoidGrab"			"跳起來的時候不會被殭屍抓住，靠這招穿越屍海吧。"
"Hint_Advanced_InfectionDuration"		"被感染後，您會在 2 分鐘內轉化！"
"Hint_Advanced_Pills"				"膠囊可以消除並延緩感染症狀 3 分鐘左右。"
"Hint_Advanced_PillsInfection"			"在即將看不見前方時才服用膠囊，這樣可以為自己多爭取一點時間。"
"Hint_Advanced_PillsTiming"			"若遭感染且即將面臨危險的情況，那就在視線不清楚前就服用膠囊吧。"
"Hint_Advanced_Medkit"				"醫療包可以恢復三分之一的生命值，並止血。"
"Hint_Advanced_DontWasteMedkit"			"若生命值還很高的話，不要任意浪費醫療包，除非真的有很多。"
"Hint_Advanced_DontWasteGeneTherapy"		"沒被感染時不需要用基因治療劑，要是先用了結果被殺了，就白費整支針劑了。"
"Hint_Advanced_InfectionChance"			"生命值愈低，被咬傷而感染的風險就愈高。"
"Hint_Advanced_InfectionOnlyWhenGrabbed"	"只有在被抓住咬上幾口的時候殭屍能夠感染您。"
"Hint_Advanced_Bandages"			"繃帶可以恢復六分之一的生命值並止血，只有在血流不止時可以使用。"
"Hint_Advanced_Bleeding"			"血流不止會緩慢減少您的生命值、使您無法衝刺，還會讓您在做任何動作時更費力。"
"Hint_Advanced_Suicide"				"遭受感染後可以舉槍自盡避免自己的屍體爬起來。"
"Hint_Advanced_FriendlyFire"			"遭受感染後即使隊友傷害是關閉的，隊友還是可以對您造成傷害。"
"Hint_Advanced_ScavengeMedicalItems"		"如果您被感染了，但不信任您的隊友，別向他們詢問醫療用品。自己去找自己來用！"
"Hint_Advanced_HealthStationStopsBleeding"	"醫療站停止治療就表示您的生命值已滿。"
"Hint_Advanced_StaminaRegen"			"停止不動時會加快體力的恢復，蹲下來移動也能稍微加快體力的恢復。不過這兩者的效果無法疊加。"
"Hint_Advanced_StaminaDrain"			"攻擊、推、衝刺皆會消耗體力。"
"Hint_Advanced_LowStaminaVulnerable"		"體力低落時可能會讓殭屍趁虛而入，您會無法執行許多防備的動作。"
"Hint_Advanced_LowStaminaBreathing"		"當體力低落時，會聽見您的人物吃力的喘息聲。"
"Hint_Advanced_LowStaminaMovement"		"當體力低落時，別再衝刺了。在這種情況下的移動速度會低於走路的速度。"
"Hint_Advanced_FlareGunSupplies"		"在生存地圖，向天空發射信號彈可以呼叫補給空投，每發一次。"

} 
}
