"lang" 
{ 
"Language" "schinese" 
"Weapon_me_chainsaw"		"电锯"
"Weapon_me_crowbar"			"撬棍"
"Weapon_me_cleaver"			"切肉刀"
"Weapon_me_etool"			"折叠工兵铲"
"Weapon_me_fubar"			"Fubar多功能消防锤"
"Weapon_me_hatchet"			"手斧"
"Weapon_me_kitknife"		"小菜刀"
"Weapon_me_machete"			"砍刀"
"Weapon_me_pickaxe"			"十字镐"
"Weapon_me_pipe_lead"		"水管"
"Weapon_me_shovel"			"铁锹"
"Weapon_me_sledge"			"长柄大锤"
"Weapon_me_wrench"			"扳手"
"Weapon_tool_barricade"		"钉板锤"
"Weapon_tool_extinguisher"	"灭火器"
"Weapon_tool_flare_gun"		"信号枪"
"Weapon_tool_welder"		"焊枪"

"ammobox_9mm"			"9毫米手枪弹"
"ammobox_45ACP"			".45自动手枪弹"
"ammobox_357"			".357马格南子弹"
"ammobox_12gauge"		"12号霰弹"
"ammobox_22LR"			".22小口径运动弹"
"ammobox_308"			".308温彻斯特步枪弹"
"ammobox_556"			"5.56毫米步枪弹"
"ammobox_762mm"			"7.62x39步枪弹"
"ammobox_grenades"		"手榴弹"
"ammobox_molotov"		"莫洛托夫燃烧瓶"
"ammobox_tnt"			"TNT炸药"
"ammobox_arrow"			"箭矢"
"ammobox_fuel"			"燃料"
"ammobox_board"			"木板"
"ammobox_flare"			"信号弹"

"Weapon_bow_deerhunter_short"			"复合弓"
"Weapon_exp_grenade_short"			"手榴弹"
"Weapon_exp_molotov_short"			"燃烧瓶"
"Weapon_exp_tnt_short"				"TNT"
"Weapon_fa_500a_short"				"M500a"
"Weapon_fa_870_short"				"M870"
"Weapon_fa_1022_short"				"鲁格 10/22"
"Weapon_fa_1022_25mag_short"			"鲁格 10/22 扩容"
"Weapon_fa_1911_short"				"M1911"
"Weapon_fa_cz858_short"				"CZ858"
"Weapon_fa_fnfal_short"				"FN FAL"
"Weapon_fa_glock17_short"			"G17"
"Weapon_fa_jae700_short"			"JAE-700"
"Weapon_fa_m16a4_short"				"M16A4 瞄镜"
"Weapon_fa_m16a4_carryhandle_short"		"M16A4 机瞄"
"Weapon_fa_m92fs_short"				"M92FS"
"Weapon_fa_mac10_short"				"MAC10"
"Weapon_fa_mkiii_short"				"鲁格 MK3"
"Weapon_fa_mp5a3_short"				"MP5A4"
"Weapon_fa_sako85_short"			"萨科 85(瞄镜)"
"Weapon_fa_sako85_ironsights_short"		"萨科 85(机瞄)"
"Weapon_fa_sks_short"				"SKS(刺刀)"
"Weapon_fa_sks_nobayo_short"				"SKS(无刺刀)"
"Weapon_fa_superx3_short"			"Super X3"
"Weapon_fa_sv10_short"				"SV10"
"Weapon_fa_sw686_short"				"S&W 686"
"Weapon_fa_winchester1892_short"		"Win. 1892"
"Weapon_item_bandages_short"			"绷带"
"Weapon_item_maglite_short"			"手电筒"
"Weapon_item_pills_short"			"药片"
"Weapon_item_first_aid_short"		"急救包"
"Weapon_item_gene_therapy_short"	"基因治疗针"
"Weapon_item_walkietalkie_short"	"对讲机"
"Weapon_me_abrasivesaw_short"		"无齿锯"
"Weapon_me_axe_fire_short"			"消防斧"
"Weapon_me_bat_metal_short"			"棒球棍"
"Weapon_me_chainsaw_short"			"电锯"
"Weapon_me_crowbar_short"			"撬棍"
"Weapon_me_cleaver_short"			"切肉刀"
"Weapon_me_etool_short"				"折叠铲"
"Weapon_me_fubar_short"				"Fubar多功能锤"
"Weapon_me_hatchet_short"			"手斧"
"Weapon_me_kitknife_short"			"小菜刀"
"Weapon_me_machete_short"			"砍刀"
"Weapon_me_pickaxe_short"			"十字镐"
"Weapon_me_pipe_lead_short"			"水管"
"Weapon_me_shovel_short"			"铁锹"
"Weapon_me_sledge_short"			"大锤"
"Weapon_me_wrench_short"			"扳手"
"Weapon_tool_barricade_short"		"钉锤"
"Weapon_tool_extinguisher_short"	"灭火器"
"Weapon_tool_flare_gun_short"		"信号枪"
"Weapon_tool_welder_short"			"焊枪"

"ammobox_9mm_short"				"9mm"
"ammobox_45ACP_short"			".45 ACP"
"ammobox_357_short"				".357"
"ammobox_12gauge_short"			"12 Gauge"
"ammobox_22LR_short"			".22 LR"
"ammobox_308_short"				".308"
"ammobox_556_short"				"5.56mm"
"ammobox_762mm_short"			"7.62x39"
"ammobox_grenades_short"		"手榴弹"
"ammobox_molotov_short"			"燃烧瓶"
"ammobox_tnt_short"				"TNT"
"ammobox_fuel_short"			"燃料"
"ammobox_arrow_short"			"箭"
"ammobox_board_short"			"木板"
"ammobox_flare_short"			"信号弹"


"Suicide_worldspawn"	"%s1 死了。"
"Suicide_player"	"%s1 自杀了。"
"Suicide_infection"	"%s1 因感染而亡。"
"Suicide_bleed"	"%s1 的血流光了。"
"Suicide_fall"	"%s1 从高处摔落而亡。"
"Suicide_drowned"	"%s1 溺水而亡。"
"Suicide_nuke"	"%s1 被炸死了。"
"Suicide_disconnect"	"%s1 离开了游戏。"

"DeathNotice_NPC_ShamblerZombie"	"丧尸"
"DeathNotice_NPC_RunnerZombie"	"跑尸"
"DeathNotice_NPC_KidZombie"	"丧尸小孩"
"DeathNotice_NPC_TurnedZombie"	"丧尸队友"

"ChallengeTimer_PersonalBest"	"个人最佳"
"ChallengeTimer_NoTime"	"无记录"
"ChallengeTimer_NewRecord"	"新纪录!"

"ChallengeInvalid"	"挑战结果将不被记录："
"ChallengeReject_Cheats"	"已开启或使用了作弊模式。"
"ChallengeReject_CvarChanged"	"在游戏过程中修改了服务器参数。"
"ChallengeReject_ModifiedRuleset"	"使用了自定义游戏难度或规则集(Ruleset)。"
"ChallengeReject_OutsideMapHack"	"加载了自定义 MapHack 脚本。"
"ChallengeReject_OutsideVScript"	"运行了自定义 VScript 脚本。"
"ChallengeReject_LateValidate"	"校验系统加载过迟。"
"ChallengeReject_GameStateCommand"	"执行过修改游戏状态的控制台指令。"
"ChallengeReject_VersionEmulation"	"开启了版本模拟。"

"Hint_Generic_Compass" "按下 %+compass% 键，打开指南针来查看当前的任务目标！"
"Hint_Generic_CheckAmmo" "您可以按住 %+reload% 键查看当前武器的剩余弹药量。"
"Hint_Generic_CheckInventory" "您可以按住 %+inventory% 键来查看背包中的装备以及切换武器。"
"Hint_Generic_AmmoInventory" "您可以按住 %+ammoinv% 键打开弹药菜单，将您的弹药分享给其他玩家。"
"Hint_Generic_VoiceCommand" "通过按下 %+voicecmd% 键打开语音菜单，发送无线电指令和您的队友交流！"
"Hint_Generic_Infected" "当您发现屏幕周围出现了血丝，并且视线逐渐变得微弱时，这说明您已经被感染了。"
"Hint_Generic_Bleeding" "在流血时，人物角色会发出疼痛声，并且您会在屏幕周围看到闪烁效果，以及从身体中流出的血液。"
"Hint_Generic_LowHealth" "如果您的屏幕正开始褪色，这说明您正处于低血量状态。"
"Hint_Generic_Pills" "感染后的您可以通过服用药片来延长病毒的潜伏期，前提是您得找到它们。"
"Hint_Generic_Bandages" "如果您正处于流血状态，使用绷带可以帮助您止血。"
"Hint_Generic_FirstAid" "如果您受伤了，使用急救包会恢复您的生命值。"

"Hint_Advanced_Shamblers" "通过蓄力近战武器几秒种的时间来击杀丧尸。但不要过度蓄力，以免浪费更多的体力。每个近战武器都有其特定的蓄力时长。"
"Hint_Advanced_Shove" "每次使用近战武器攻击后，要记得按下 %+shove% 推开丧尸，以避免丧尸袭击您的任何潜在风险。"
"Hint_Advanced_MemorizeAmmo" "每种枪支使用的弹药类型不同，请务必牢记弹药与枪支间的适配关系。"
"Hint_Advanced_DontHoard" "不要囤积您无法使用的弹药，与拥有适配武器的队友互相分享才会增加您存活的机率。"
"Hint_Advanced_ConserveAmmo" "请节省弹药，您的枪支应只在被跑尸包围或被一大群行尸阻碍等紧急情况下使用。"
"Hint_Advanced_RunnerTrick" "跑尸或丧尸小孩太过灵活？时刻保持移动是对付它们的秘诀。"
"Hint_Advanced_ObjectiveVariation" "部分任务地图中的任务和地形会产生随机变化，试着记住它们并将地图完全掌握吧。"
"Hint_Advanced_FocusOnObjective" "在您游玩任务地图时，请重点关注该如何完成任务。尽量避免击杀多余的丧尸，除非情况迫不得已。"
"Hint_Advanced_JumpToAvoidGrab" "跳跃可以防止丧尸们将您抓住，请灵活使用这项技能来躲避尸群的攻击。"
"Hint_Advanced_InfectionDuration" "如果您被感染了，您将会在大约两分钟后转变为一具行尸走肉！"
"Hint_Advanced_Pills" "使用药片会消除屏幕上的感染效果，并将病毒的潜伏期延长大约三分钟的时间。"
"Hint_Advanced_PillsInfection" "在视线变得模糊不清时使用药片，将会为您争取更多的逃生时间。"
"Hint_Advanced_PillsTiming" "如果感染的您正处于危险境地，请不要吝啬使用药片，在视线开始模糊前就服用它吧。"
"Hint_Advanced_Medkit" "急救包将恢复您总血量的三分之一，同时也会为您止血。"
"Hint_Advanced_DontWasteMedkit" "除非您的急救包数量充足，否则最好不要在生命值接近满血时使用急救包。"
"Hint_Advanced_DontWasteGeneTherapy" "使用基因治疗注射器将免疫并彻底治愈丧尸病毒(若已被感染)。但最好不要在未感染时使用它，以免您还没有感染却被丧尸击杀的得不偿失。"
"Hint_Advanced_InfectionChance" "您的生命值越低，被丧尸咬伤后感染病毒的机率就会越高。"
"Hint_Advanced_InfectionOnlyWhenGrabbed" "只有被丧尸抓住和被丧尸咬伤两种方式，才会让您有机率感染上病毒。"
"Hint_Advanced_Bandages" "绷带将恢复您总血量的六分之一并帮助您止血，但您只有在处于流血状态时才能够使用绷带。"
"Hint_Advanced_Bleeding" "流血状态将会缓慢减少您的生命值，并阻止您使用冲刺技能。您的每一种行为在流血时都会消耗比平常更多的体力。"
"Hint_Advanced_Suicide" "枪支可以被用来结束自己的生命。如果您在感染时自杀，这还将阻止您在死亡后尸变。"
"Hint_Advanced_FriendlyFire" "在您的感染发作时，尽管友军伤害设定为关闭，来自队友的攻击仍然会对您造成伤害。"
"Hint_Advanced_ScavengeMedicalItems" "在您感染后，队友和您之间将有着信任危机。请谨慎向他们索要医疗物资，最好的做法是自己谋求生路！"
"Hint_Advanced_HealthStationStopsBleeding" "在您使用医疗箱将生命值回满的同时，它还会附带止血效果。"
"Hint_Advanced_StaminaRegen" "站立静止不动将会更快恢复您的体力，边蹲下边移动则会小幅恢复体力，两者的恢复效果不会叠加。"
"Hint_Advanced_StaminaDrain" "攻击丧尸，推开丧尸，跳跃以及冲刺等行为都会消耗您的体力。"
"Hint_Advanced_LowStaminaVulnerable" "处于低体力状态会让您变得十分被动，此时您将无法做出任何保护自己的操作。"
"Hint_Advanced_LowStaminaBreathing" "如果您听到了角色拼命喘气的声音，这说明您正处于低体力状态。"
"Hint_Advanced_LowStaminaMovement" "在您体力不足时，请停止使用冲刺技能。低体力状态下的移动速度将会比正常步行时还要慢。"
"Hint_Advanced_FlareGunSupplies" "在游玩生存地图时，您可以通过向天空发射信号弹的方式获取额外空投补给。(每回合一次)"

} 
}  
