"lang" 
{ 
"Language" "English" 
"Tokens" 
{ 

"GameUI_Error"	"Error"
"NMRiH_Advanced_nmrih_ssao"				"Enable ambient occlusion (HBAO)"
"NMRiH_Advanced_mp_decals"				"Decal limit (max. 4096)"
"NMRiH_Advanced_cl_mainmenu_background"		"Menu background preference"
"NMRiH_Advanced_cl_mainmenu_background_Random"	"Random"
"NMRiH_Advanced_cl_mainmenu_background_0"		"Anniversary (v1.12)"
"NMRiH_Advanced_cl_mainmenu_background_1"		"Greenlit (v1.07)"
"NMRiH_Advanced_cl_mainmenu_background_2"		"Rebirth (v1.10)"
"NMRiH_Advanced_cl_new_impact_effects_cheap"	"Impact effect quality"
"NMRiH_Advanced_cl_new_impact_effects_cheap_0"	"High, with debris"
"NMRiH_Advanced_cl_new_impact_effects_cheap_1"	"Low, no debris"

"NMRiH_Difficulty"	"Difficulty"

"NMRiH_Difficulty_Classic"		"Classic"
"NMRiH_Difficulty_Casual"		"Casual"
"NMRiH_Difficulty_Nightmare"	"Nightmare"
"NMRiH_Difficulty_PVP"			"PvP"

"NMRiH_GameType_Objective"		"Objective"
"NMRiH_GameType_Survival"		"Survival"
"NMRiH_GameType_Custom"			"Custom"
"NMRiH_GameType_PVP"			"PvP"
"NMRiH_GameType_Minigame"		"Minigame"

"NMRiH_LAN"				"LAN Only"

"NMRiH_Difficulty_Tooltip"	"Choose a difficulty level.\nClassic: Default options, respawn points active.\nCasual: Always respawn, weapons given on spawn.\nNightmare: Zombie health, density and infection chance increased.\nPvP: Enables PvP scoring and deathnotices, disables zombies and objectives."
"NMRiH_Map_Time_Tooltip"	"Map time limit."
"NMRiH_LAN_Tooltip"	"Enforces LAN connections, does not announce to public."
"NMRiH_FriendlyFire_Tooltip"	"Enables friendly fire, infected players will always take damage."
"NMRiH_RealismMode_Tooltip"	"In Realism mode, respawns are disabled, zombies only take headshot damage, and all headshots are 1-hit-kill regardless of ammo type."
"NMRiH_HardcoreSurvival_Tooltip"	"Hides the HUD in survival mode."
"NMRiH_Max_Players_Tooltip"	"Player limit, minimum of 2, maximum of 8."
"NMRiH_AdvOptions"	"Extended Options..."
"NMRiH_AdvOptions_Tooltip"	"Edit extended game options."

"NMRiH_Extended_Options"	"Extended Options"

"NMRiH_TokensEnabledObjective"	"Objective: Enable Respawn Tokens"
"NMRiH_KillsPerTokenObjective"	"Objective: Kills per Token"
"NMRiH_TokensEnabledSurvival"	"Survival: Enable Respawn Tokens"
"NMRiH_KillsPerTokenSurvival"	"Survival: Kills per Token"
"NMRiH_RespawnAllowed"	"Enable respawns"
"NMRiH_RespawnWithWeapon"	"Respawn with a weapon"
"NMRiH_NearbySpawningEnabled"	"Enable nearby spawning"
"NMRiH_SpawnGrace"	"Spawn grace"
"NMRiH_SpawnGraceWavePercent"	"Spawn grace wave percent"
"NMRiH_ResetTokensOnNewWave"	"Reset tokens on new wave"
"NMRiH_RemoveInflictionsOnNewWave"	"Remove inflictions on new wave"
"NMRiH_HealAmountOnNewWave"	"Heal amount on new wave"
"NMRiH_InitialTokenCountObjective"	"Objective: Initial Respawn Token count"
"NMRiH_InitialTokenCountSurvival"	"Survival: Initial Respawn Token count"
"NMRiH_ZombieHealth"	"Zombie health"
"NMRiH_ZombieSpawnDensity"	"Zombie spawn density"
"NMRiH_BrainStemMode"	"Enable zombie brainstem"
"NMRiH_InfectionChanceModifier"	"Infection chance modifier"
"NMRiH_SurvivalInfectionChanceModifier"	"Survival: Infection chance modifier"
"NMRiH_FriendlyFireModifier"	"Friendly fire modifier"
"NMRiH_RunnerSpawnerChance"	"Runner spawn chance"
"NMRiH_ChildSpawnerChance"	"Child spawn chance"
"NMRiH_DisplayPlayerHealth"	"Display player health"
"NMRiH_ShowDeathNotice"	"Show deathnotices"
"NMRiH_ForcePracticeMode"	"Force practice mode"
"NMRiH_KillScorePenalty"	"Enable kill penalty"

"VoiceSet"				"Voice Set"
"AmmoCheckType"				"Ammo Check"

"AmmoCheckType_Both"			"Voice and HUD"
"AmmoCheckType_Voice"			"Voice Only"
"AmmoCheckType_HUD"			"HUD Only"

"Title_CharacterSelect"			"Character Select"

"NMRiH_VoteKickReason"			"Reason"
"NMRiH_VoteKickReason_Other"	"Other"
"NMRiH_VoteKickReason_Cheating"	"Cheating"
"NMRiH_VoteKickReason_Idle"		"Idle"
"NMRiH_VoteKickReason_Griefing"	"Griefing"

"NMRiH_Vote_Column_Issue"	"Issue"
"NMRiH_Vote_Column_Name"	"Name"
"NMRiH_Vote_Column_Properties"	""

"NMRIH_vote_no_maps"	"No maps available."

"Vote_kick"				"Kick Player"
"Vote_changelevel"		"Change Level"
"Vote_nextlevel"		"Next Level"
"Vote_restart"			"Restart Round"
"Vote_changechallenge"		"Change Challenge"
"Vote_changedifficulty"		"Change Difficulty"

"NMRiH_Vote_Kick_Player_Other"		"Kick player: %s1?\n(no reason given)"
"NMRiH_Vote_Kick_Player_Cheating"		"Kick player: %s1?\n(accused of cheating)"
"NMRiH_Vote_Kick_Player_Idle"		"Kick player: %s1?\n(accused of being idle)"
"NMRiH_Vote_Kick_Player_Griefing"		"Kick player: %s1?\n(accused of griefing)"
"NMRiH_Vote_Kick_Player"			"Kick player: %s1?"
"NMRiH_Vote_Passed_Kick_Player"	"Kicking player: %s1..."

"NMRiH_Vote_ChangeLevel"	"Change level to %s1?"
"NMRiH_Vote_NextLevel"		"Set next level to %s1?"
"NMRiH_Vote_RestartRound"	"Restart the round?"
"NMRiH_Vote_ChangeChallenge"	"Change challenge to %s1?"
"NMRiH_Vote_ChangeDifficulty"	"Change difficulty to %s1?"

"NMRiH_Scoreboard_MutePlayer"	"Mute player"
"NMRiH_Scoreboard_ViewSteamProfile"	"View Steam profile"
"NMRiH_Scoreboard_Bot"	"BOT"

"NMRiH_MutedPlayer"	"Muted player %s1's voice"
"NMRiH_UnmutedPlayer"	"Unmuted player %s1's voice"

"NMRiH_Challenge_Select"	"Choose a challenge:"
"NMRiH_Challenge_Random"	"Random Objectives"
"NMRiH_Challenge_Random_Desc"	"Complete a set of objectives as quick as you can!"
"NMRiH_Challenge_NoDesc"	"No description available."

"Challenge_Name_nmo_anxiety_challenge_1"	"Exposure Therapy"
"Challenge_Desc_nmo_anxiety_challenge_1"	"Can you feel your heart beating?"

"Challenge_Name_nmo_boardwalk_challenge_1"	"Walk in the Park"
"Challenge_Desc_nmo_boardwalk_challenge_1"	"Enjoy warm sand, free entertainment, and... who am I kidding?"

"Challenge_Name_nmo_broadway_challenge_1"	"Cinema Premiere"
"Challenge_Desc_nmo_broadway_challenge_1"	"You're late to the premiere! Make your way through the crowds, and catch the train home!"
"Challenge_Name_nmo_broadway_challenge_2"	"Motel Rush"
"Challenge_Desc_nmo_broadway_challenge_2"	"No reservations, mind that corpse on the pool."
"Challenge_Name_nmo_broadway_blitz_1"	"Blitz: Cinema Premiere"
"Challenge_Desc_nmo_broadway_blitz_1"	"In Blitz mode, gain more time by completing objectives!"
"Challenge_Name_nmo_broadway_blitz_2"	"Blitz: Motel Rush"
"Challenge_Desc_nmo_broadway_blitz_2"	"In Blitz mode, gain more time by completing objectives!"

"Challenge_Name_nmo_broadway2_challenge_1"	"Hoop Dreams"
"Challenge_Desc_nmo_broadway2_challenge_1"	"Every player dreams of making it... out of here in one piece."
"Challenge_Name_nmo_broadway2_challenge_2"	"On a Rail"
"Challenge_Desc_nmo_broadway2_challenge_2"	"Looks like our rescue helicopter is no more. Escape via the train!"
"Challenge_Name_nmo_broadway2_challenge_3"	"Tank Me Later"
"Challenge_Desc_nmo_broadway2_challenge_3"	"The store entrance is locked, can you make a new one?"

"Challenge_Name_nmo_brooklyn_challenge_1"	"Core Workout"
"Challenge_Desc_nmo_brooklyn_challenge_1"	"This roadblock won't budge on its own..."
"Challenge_Name_nmo_brooklyn_challenge_2"	"Shop and Chop"
"Challenge_Desc_nmo_brooklyn_challenge_2"	"If we want to hit the road, we are gonna need supplies!"

"Challenge_Name_nmo_cabin_challenge_1"	"Cabin Fever"
"Challenge_Desc_nmo_cabin_challenge_1"	"Local neighbors don't seem too impressed about your antics, better get the hell out from here."
"Challenge_Name_nmo_cabin_challenge_2"	"Under the Cabin"
"Challenge_Desc_nmo_cabin_challenge_2"	"What did the janitor hide down there? Let's find out."
"Challenge_Name_nmo_cabin_challenge_3"	"Secret Knowledge"
"Challenge_Desc_nmo_cabin_challenge_3"	"The family is the answer, now featuring moving bookcases!"
"Challenge_Name_nmo_cabin_blitz_1"	"Blitz: Cabin Fever"
"Challenge_Desc_nmo_cabin_blitz_1"	"Now they are really onto us... In Blitz mode, gain more time by completing objectives!"

"Challenge_Name_nmo_chinatown_challenge_1"	"Cutting Corners"
"Challenge_Desc_nmo_chinatown_challenge_1"	"Make your way through the map using shortcuts."
"Challenge_Name_nmo_chinatown_blitz_1"	"Blitz: Rush Hour"
"Challenge_Desc_nmo_chinatown_blitz_1"	"In Blitz mode, gain more time by completing objectives!"

"Challenge_Name_nmo_cleopas_challenge_1"	"The Plan"
"Challenge_Desc_nmo_cleopas_challenge_1"	"How nice of someone to lay down these objectives for us."
"Challenge_Name_nmo_cleopas_challenge_2"	"Trespasser!"
"Challenge_Desc_nmo_cleopas_challenge_2"	"People might not like it when you break in their house."

"Challenge_Name_nmo_fema_challenge_1"	"Public Hero"
"Challenge_Desc_nmo_fema_challenge_1"	"Help secure the retroviral vaccine and we might return the favor."
"Challenge_Name_nmo_fema_challenge_2"	"Pump It"
"Challenge_Desc_nmo_fema_challenge_2"	"We can't take off without fuel, keep that diesel pumping!"

"Challenge_Name_nmo_junction_challenge_1"	"Safe Haven No More"
"Challenge_Desc_nmo_junction_challenge_1"	"Make a break for it to escape the city for good."

"Challenge_Name_nmo_lakeside_challenge_1"	"Run of the Mill"
"Challenge_Desc_nmo_lakeside_challenge_1"	"You won't see this every day."
"Challenge_Name_nmo_lakeside_challenge_2"	"Downtime"
"Challenge_Desc_nmo_lakeside_challenge_2"	"Can't connect? It's not just you!"

"Challenge_Name_nmo_quarantine_challenge_1"	"Containment Loss"
"Challenge_Desc_nmo_quarantine_challenge_1"	"Oopsies, we made a mess."

"Challenge_Name_nmo_rockpit_challenge_1"	"Power Trip"
"Challenge_Desc_nmo_rockpit_challenge_1"	"We know this place inside out, it'll be a walk in the park."
"Challenge_Name_nmo_rockpit_challenge_2"	"Under Stress"
"Challenge_Desc_nmo_rockpit_challenge_2"	"Complete a round with the longest possible objective chain."
"Challenge_Name_nmo_rockpit_blitz_1"	"Blitz: Power Trip"
"Challenge_Desc_nmo_rockpit_blitz_1"	"In Blitz mode, gain more time by completing objectives!"

"Challenge_Name_nmo_shelter_challenge_1"	"There Be No Shelter Here!"
"Challenge_Desc_nmo_shelter_challenge_1"	"The thin line between entertainment and war."

"Challenge_Name_nmo_shoreline_challenge_1"	"Sightseer"
"Challenge_Desc_nmo_shoreline_challenge_1"	"I don't think the folk around here are fond of tourists..."
"Challenge_Name_nmo_shoreline_challenge_2"	"Detoured"
"Challenge_Desc_nmo_shoreline_challenge_2"	"Go through the map via the full alternative path."

"Challenge_Name_nmo_suzhou_challenge_1"	"Bad Hair Day"
"Challenge_Desc_nmo_suzhou_challenge_1"	"Complete a round with the longest possible objective chain."

"Challenge_Name_nmo_toxteth_challenge_1"	"Graveyard Dash"
"Challenge_Desc_nmo_toxteth_challenge_1"	"I suggest cutting through the graveyard..."
"Challenge_Name_nmo_toxteth_challenge_2"	"Sewer Sweep"
"Challenge_Desc_nmo_toxteth_challenge_2"	"Well, if you don't mind the sludge..."
"Challenge_Name_nmo_toxteth_blitz_1"	"Blitz: Graveyard Dash"
"Challenge_Desc_nmo_toxteth_blitz_1"	"We can't afford much time so be quick! In Blitz mode, gain more time by completing objectives!"
"Challenge_Name_nmo_toxteth_blitz_2"	"Blitz: Sewer Sweep"
"Challenge_Desc_nmo_toxteth_blitz_2"	"You do realize you're walking on other people's excrement right? In Blitz mode, gain more time by completing objectives!"

"Challenge_Name_nmo_toxtethdark_challenge_1"	"Graveyard Dash (Dark)"
"Challenge_Desc_nmo_toxtethdark_challenge_1"	"I suggest cutting through the graveyard..."
"Challenge_Name_nmo_toxtethdark_challenge_2"	"Sewer Sweep (Dark)"
"Challenge_Desc_nmo_toxtethdark_challenge_2"	"Well, if you don't mind the sludge..."

"Challenge_Name_nmo_underground_challenge_1"	"Commuter Hell"
"Challenge_Desc_nmo_underground_challenge_1"	"You won't get far..."
"Challenge_Name_nmo_underground_challenge_2"	"Push the Cart"
"Challenge_Desc_nmo_underground_challenge_2"	"We must push little cart!"
"Challenge_Name_nmo_underground_challenge_3"	"Average Melee Appreciator"
"Challenge_Desc_nmo_underground_challenge_3"	"Complete the map without guns and explosives!"

"Challenge_Name_nmo_zephyr_challenge_1"	"Way of the Zephyrs"
"Challenge_Desc_nmo_zephyr_challenge_1"	"Hearing human voice is so refreshing."
"Challenge_Name_nmo_zephyr_challenge_2"	"Lack of Maintenance"
"Challenge_Desc_nmo_zephyr_challenge_2"	"What's up with that engineer? Nothing seems to be working."

"Downloading_Workshop_Map"		"Downloading map from Workshop..."
"Downloading_Workshop_Map_Progress"		"Downloading map from Workshop... (%s1/%s2)"

"GameUI_Multiplayer" 	"Game"
"GameUI_OptionNeedsRestart"		"(This option requires restart)"

"NMRiH_CreateGame_NATWarning_Title"	"NAT Warning"
"NMRiH_CreateGame_NATWarning1"		"Your network device appears to be behind NAT. (Network address translation)"
"NMRiH_CreateGame_NATWarning2"		"This may prevent other players from joining your game."
"NMRiH_CreateGame_NATWarning3"		"Before you begin, ensure that your router has UDP port 27015 forwarded."
"NMRiH_CreateGame_NATWarning_DontShowAgain"		"Don't show again"
"NMRiH_CreateGame_NATWarning_OpenHostingGuide"	"Open hosting guide..."

"NMRiH_ScoreBoard_PlayerCount"	"Players: %s1"

"NMRiH_Select_Mutators"	"Select Mutators"
"NMRiH_Find_Mutators"	"Find more..."
"NMRiH_Mutator_ImportConfig"	"Import Mutator config"
"NMRiH_Mutator_ExportConfig"	"Export Mutator config"
"NMRiH_Mutator_ConfigFileType"	"Mutator config (.txt)"
"NMRiH_Mutator_ExportCfgSuccess"	"Mutator config exported successfully."
"NMRiH_Mutator_FailedToImportConfig"	"Failed to import mutator config. The file is invalid."

"Mutator_Name_deathnotice"	"Deathnotices"
"Mutator_Desc_deathnotice"	"Displays kills / deaths."

"Mutator_Name_nostamina"	"No Stamina"
"Mutator_Desc_nostamina"	"Players have infinite stamina."

"Mutator_Name_nozombierespawn"	"No Zombie Respawn"
"Mutator_Desc_nozombierespawn"	"Zombies will not respawn."

"Mutator_Name_weightlessammo"	"Weightless Ammo"
"Mutator_Desc_weightlessammo"	"Ammo will not take inventory space."

"NMRiH_DeckCompatibility_Title"	"Steam Deck Compatibility"
"NMRiH_DeckCompatibility_Message1"	"It appears you're playing on Steam Deck."
"NMRiH_DeckCompatibility_Message2"	"Linux native runtime is untested and may be unstable."
"NMRiH_DeckCompatibility_Message3"	"It's recommended to use Steam Play (Proton) for maximum compatibility."

//============================
//Add-on Manager
//============================
"Addon_Manager"						"Add-on Manager"

"Addon_Manager_UpdatingAddons"		"Updating Add-ons..."
"Addon_Manager_ByAuthor"			"by %s1"
"Addon_Manager_Search"				"Search:"
"Addon_Manager_Category"				"Category:"
"Addon_Manager_Sort"				"Sort:"
"Addon_Manager_SwapWith"			"Swap with:"
"Addon_Manager_Refresh"				"Refresh"
"Addon_Manager_OpenInWorkshop"		"Open in Steam Workshop..."
"Addon_Manager_BrowseAddons"		"Browse add-ons..."
"Addon_Manager_ApplyChanges"		"Apply changes"
"Addon_Manager_InvalidAddon"		"This add-on is incompatible."
"Addon_Manager_MultiSelect"			"[%s1 add-ons selected]"

"Addon_Manager_DropMenu_Disable"	"Disable"
"Addon_Manager_DropMenu_ShowInfo"	"Show Info"
"Addon_Manager_DropMenu_OpenInWorkshop"	"Open in Workshop..."
"Addon_Manager_DropMenu_ViewChangeNotes"	"View Change Notes..."
"Addon_Manager_DropMenu_Uninstall"	"Uninstall"
"Addon_Manager_DropMenu_Unsubscribe"	"Unsubscribe"
"Addon_Manager_DropMenu_PackToVPK"	"Pack to VPK..."
"Addon_Manager_DropMenu_PublisherUpdate"	"Update in Publisher"
"Addon_Manager_DropMenu_Validate"	"Validate"
"Addon_Manager_DropMenu_CheckForConflicts"	"Check for Conflicts..."
"Addon_Manager_DropMenu_OpenDataFolder"	"Open Data Folder..."
"Addon_Manager_DropMenu_PrintAddonInfo"	"Print Add-on Info to Console"

"Addon_Manager_DropMenu_MultiSelectEnable"	"Enable Selected"
"Addon_Manager_DropMenu_MultiSelectDisable"	"Disable Selected"
"Addon_Manager_DropMenu_MultiSelectUninstall"	"Uninstall Selected"

"Addon_Manager_Category_All"		"All"
"Addon_Manager_Category_Local"		"Local"
"Addon_Manager_Category_Workshop"	"Workshop"
"Addon_Manager_Category_Published"	"Published"
"Addon_Manager_Category_VotedUp"	"Voted Up"
"Addon_Manager_Category_Favorited"	"Favorited"
"Addon_Manager_Category_Followed"	"Followed"

"Addon_Manager_Sort_Title"				"Title"
"Addon_Manager_Sort_LoadOrder"			"Load Order"
"Addon_Manager_Sort_LastUpdated"		"Last Updated"

"Addon_Manager_EmptyList"				"Nothing here!"
"Addon_Manager_EmptyList_Tip"			"Visit the Workshop for add-ons."
"Addon_Manager_EmptyList_TipFilter"		"Check the filters."

"Addon_Manager_Search_NotFound"			"Nothing found!"
"Addon_Manager_Search_NotFound_Tip"		"Check the search terms."

"Addon_Manager_NotAvailable"				"Add-ons are not available."
"Addon_Manager_NotAvailable_CmdLine"		"Launch option \"-noaddons\" is set."
"Addon_Manager_NotAvailable_Disabled"		"You can enable add-ons in the options."
"Addon_Manager_NotAvailable_NoSteam"		"No connection to Steam."

"Addon_Manager_DisabledNotice"		"Add-ons are currently disabled, however you can still use the manager. You can enable add-ons in the options.\n(This does not apply to Workshop maps.)"
"Addon_Manager_NoConnection"		"No connection to Steam, Workshop add-ons cannot be managed. Your installed add-ons still work offline."

"Addon_Manager_UnsubscribeAddon_Title"		"Unsubscribe Add-on"
"Addon_Manager_UnsubscribeAddon_Message"	"%s1 will be unsubscribed, are you sure?"

"Addon_Manager_UninstallAddon_Title"	"Uninstall Add-on"
"Addon_Manager_UninstallAddon_Message"	"%s1 will be permanently removed if you continue, this cannot be undone."
"Addon_Manager_UninstallAddon_Tip"		"TIP: You can easily disable add-ons from the drop menu instead of removing them."
"Addon_Manager_UninstallAddon_Failed"	"Uninstall failed!"

"Addon_Manager_MultiSelectUninstall_Title"		"Uninstall multiple add-ons"
"Addon_Manager_MultiSelectUninstall_Message"	"%s1 selected add-ons will be uninstalled/unsubscribed, are you sure?"

"Addon_Manager_SubscribedAddon"			"Add-on Manager has noticed that you subscribed new add-on(s)."
"Addon_Manager_ApplyChangesDialog"		"Do you wish to apply changes? The game will be restarted."

"Addon_Manager_AdvancedPanel"		"Advanced"
"Addon_Manager_Advanced_ImportCfg"		"Import add-on config..."
"Addon_Manager_Advanced_ExportCfg"		"Export add-on config..."
"Addon_Manager_Advanced_ClearPreviewCache"		"Clear preview cache"
"Addon_Manager_Advanced_ConfigReset"		"Reset all add-on settings..."

"Addon_Manager_ImportCfg"			"Import add-on config"
"Addon_Manager_ExportCfg"			"Export add-on config"
"Addon_Manager_CfgFileType"		"Add-on config (.txt)"
"Addon_Manager_ImportCfgSuccess"		"Add-on config imported successfully, restart the game to apply changes."
"Addon_Manager_ExportCfgSuccess"		"Add-on config exported successfully."
"Addon_Manager_FailedToImportCfg"		"Failed to import add-on config. The file is invalid."

"Addon_Manager_PreviewCacheCleared_Title"	"Cache cleared"
"Addon_Manager_PreviewCacheCleared_Message"	"Preview image cache has been cleared."

"Addon_Manager_ConfigReset_Confirm"	"All settings will be lost, do you wish to continue?"

"Addon_Manager_ConfigReset_Title"	"Settings reset"
"Addon_Manager_ConfigReset_Message"	"Add-on settings have been reset. Restart the game to apply changes."

"Addon_Manager_MapDownloadFailed"	"Failed to download a map from Workshop! (Error code: %s1)"

"Addon_Manager_InfoPanel"				"Add-on Info"
"Addon_Manager_InfoPanel_Title"			"Title"
"Addon_Manager_InfoPanel_Author"		"Author"
"Addon_Manager_InfoPanel_Summary"		"Summary"
"Addon_Manager_InfoPanel_Workshop"		"Workshop"
"Addon_Manager_InfoPanel_Tags"			"Tags"
"Addon_Manager_InfoPanel_LoadOrder"		"Load Order"
"Addon_Manager_InfoPanel_Installed"		"Installed"
"Addon_Manager_InfoPanel_LastModified"	"Last Modified"
"Addon_Manager_InfoPanel_FileSize"		"File Size"
"Addon_Manager_InfoPanel_WorkshopID"	"Workshop ID"
"Addon_Manager_InfoPanel_UserRating"	"User Rating"
"Addon_Manager_InfoPanel_None"			"[none]"

//============================
//Workshop Publisher
//============================
"Workshop_Publisher"				"Workshop Publisher"
"Workshop_Publisher_AddonForm"		"Add-on Form"
"Workshop_Publisher_UpdateExisting"	"Update existing add-on"
"Workshop_Publisher_UploadProgress"	"Uploading add-on to Workshop..."		

"Workshop_Publisher_TaskSelection"		"Choose a task:"
"Workshop_Publisher_TaskSelection_UploadNew"	"Upload new add-on"
"Workshop_Publisher_TaskSelection_UpdateExisting"	"Update existing add-on"

"Workshop_Publisher_NoConnection"	"No connection to Steam, Workshop Publisher is not available."
"Workshop_Publisher_NoAddons"		"Add-ons are disabled, Workshop Publisher is not available."

"Workshop_Publisher_AddonForm_Title"				"Title: *"
"Workshop_Publisher_AddonForm_Desc"					"Description:"
"Workshop_Publisher_AddonForm_Summary"				"Short Description:"
"Workshop_Publisher_AddonForm_ChangeNotes"			"Change Notes:"
"Workshop_Publisher_AddonForm_ContentPath"			"Content Path: *"
"Workshop_Publisher_AddonForm_PreviewImage"			"Preview Image: *"
"Workshop_Publisher_AddonForm_Category"				"Category:"
"Workshop_Publisher_AddonForm_Tags"					"Tags (separate with ','):"
"Workshop_Publisher_AddonForm_ItemVisibility"		"Item Visibility:"
"Workshop_Publisher_AddonForm_Browse"				"Browse..."
"Workshop_Publisher_AddonForm_PackToVPK"			"Pack to VPK"
"Workshop_Publisher_AddonForm_Publish"				"Publish"
"Workshop_Publisher_AddonForm_KeepExisting"			"Keep existing"
"Workshop_Publisher_AddonForm_LegalAccept"			"I accept the terms of the Steam Subscriber Agreement"
"Workshop_Publisher_AddonForm_ViewLegal"			"View agreement..."
"Workshop_Publisher_AddonForm_ClearForm"			"Clear Form"
"Workshop_Publisher_AddonForm_TooltipSummary"		"A short description of the add-on, displayed in the user interface."
"Workshop_Publisher_AddonForm_TooltipChangeNotes"	"These notes will appear in the Workshop item changelog for each update."
"Workshop_Publisher_AddonForm_RequiredField"		"* = required field"
"Workshop_Publisher_AddonForm_IncludeMaphack"		"Include MapHack file"
"Workshop_Publisher_AddonForm_RepairItem"			"Repair item"
"Workshop_Publisher_AddonForm_TooltipMaphack"		"Ships a MapHack file named {mapname}.txt if present."
"Workshop_Publisher_AddonForm_TooltipRepair"		"Choose this if your Workshop item has leftover files or bad metadata, without replacing content."

"Workshop_Publisher_BrowseContent"		"Browse for content"
"Workshop_Publisher_BrowsePreview"		"Browse for preview image"

"Workshop_Publisher_Filter_AllContent"		"All content (*.vpk, *.bsp)"
"Workshop_Publisher_Filter_VPK"				"Valve Pack File (*.vpk)"
"Workshop_Publisher_Filter_BSP"				"BSP Map File (*.bsp)"

"Workshop_Publisher_Filter_AllImages"		"All images (*.jpg, *.png, *.gif)"
"Workshop_Publisher_Filter_JPEG"			"JPEG Images (*.jpg)"
"Workshop_Publisher_Filter_PNG"				"PNG Images (*.png)"
"Workshop_Publisher_Filter_GIF"				"GIF Images (*.gif)"

"Workshop_Publisher_Visibility_Public"		"Public"
"Workshop_Publisher_Visibility_FriendsOnly"	"Friends Only"
"Workshop_Publisher_Visibility_Private"		"Private"
"Workshop_Publisher_Visibility_Unlisted"	"Unlisted"

"Workshop_Publisher_Category_None"			"None"

"Workshop_Publisher_UpdatingExisting"		"(Updating existing add-on %s1)"

"Workshop_Publisher_OpenInWorkshop"			"Open in Workshop..."

"Workshop_Publisher_ConfirmClose"			"There are unpublished changes, do you wish to close?"
"Workshop_Publisher_ConfirmClear"			"There are unpublished changes, do you wish to clear the form?"

"Workshop_Publisher_Status_StartingUp"				"Starting up..."
"Workshop_Publisher_Status_PreparingConfig"			"Preparing config..."
"Workshop_Publisher_Status_PreparingContent"		"Preparing content..."
"Workshop_Publisher_Status_StartingContentUpload"	"Starting content upload..."
"Workshop_Publisher_Status_UploadingContent"		"Uploading content... (%s1/%s2)"
