"lang"
{
"Language" "japanese"
"Valve_Hint_PhysSwap" "%phys_swap% 重力銃を\n 前の銃と切り替える"
"Valve_Hint_Command_send"  "%impulse 50% 部隊を場所に派遣"
"Valve_Hint_Command_recall"  "%impulse 50% 2 回押して部隊を召還"
"Valve_Hint_CraneKeys"	"%+forward% アームを伸ばす %+back% アームを引っ込める %+moveleft% 左を向く %+moveright% 右を向く %+attack% 対象を拾う/落とす"	[$WIN32]
"Valve_Hint_CraneKeys"	"%xmove% アームを動かす %+attack% 対象を拾う/落とす"	[$X360]
"Valve_Hint_BoatKeys"	"%+forward% 速度を上げる %+back% 速度を下げる %+moveleft% 左を向く %+moveright% 右を向く"	[$WIN32]
"Valve_Hint_BoatKeys"	"%xmove% 加速する/操縦する %xlook% 視点移動"	[$X360]
"Valve_Hint_JeepKeys"	"%+speed% ターボ %+jump% ハンドブレーキ"
"Valve_Hint_JeepTurbo"	"%+speed% ターボ"
"Valve_Hint_HEVcharger"	"%+use% 押し続けてスーツを回復"
"Valve_Hint_AirboatGun"	"%+attack% エアボートの銃を発射"
"Valve_Hint_AmmoCrate" "%+use% 弾薬をケースから取る"
"Valve_Hint_USEPickup"	"%+use% 対象を拾う"
"Valve_Hint_ThrowHeld"	"%+attack% つかんでいる物を投げる"
"Valve_Hint_MomentaryButton"	"%+use% 押し続けてホイールを回す"
"Valve_Hint_ThrowBait"	"%+attack% フェロポッドを投げる"
"Valve_Hint_SqueezeBait"  "%+attack2% アントライオンを呼ぶ"
"Valve_Hint_Ladder"	"%+use% ハシゴを設置する/撤去する"
"Valve_Hint_Interact" "%+use% 話す/操作する"
"Valve_Hint_Jump" "%+jump% ジャンプ"
"Valve_Hint_Movement" "%xmove% 移動 %xlook% 視点移動"	[$X360]
"Valve_Hint_Movement" "前進 %+forward%後退 %+back%左 %+moveleft%右 %+moveright%"	[$WIN32]
"Valve_Hint_Door" "%+use% ドアを開ける"
"Valve_Hint_Sprint"	"%+speed% ダッシュ"
"Valve_Hint_Attack"	"%+attack% 攻撃"
"Valve_Hint_Crouch"	"%+duck% しゃがむ"
"Valve_Hint_ItemCrate" "%+attack% アイテムが入った箱を破壊する"
"Valve_Hint_Healthcharger" "%+use% 押し続けて医療部隊から手当てを受ける"
"Valve_Hint_Reload"	"%+reload% リロード"
"Valve_Hint_SwimUp"	"%+jump% 上へ泳ぐ"



"Valve_Miscellaneous_Keyboard_Keys_Title"  "その他の動き"
"Valve_Chapter"		"チャプター"

"Valve_HudPoisonDamage"	"神経毒を検知\n解毒剤を投与中"

"Valve_CreatingCache"	"サウンド キャッシュを作成中..."
"Valve_CreatingSpecificSoundCache"	"処理中： %s1"

"Valve_UpdatingSteamResources" "Steam のリソースを更新中..."

"Valve_Sprint"		"ダッシュ(速く移動)"
"Valve_Suit_Zoom"	"スーツズーム"
"Valve_Commander_Mode"	"部隊の派遣/召還"
"Valve_Gravity_Gun"	"重力銃"
"Valve_CC_Toggle"	"クローズドキャプションの SE を切り替える"

"Valve_Hud_HEALTH"		"ヘルス"
"Valve_Hud_AMMO"		"弾薬"
"Valve_Hud_AMMO_ALT"		"サブ"
"Valve_Hud_SUIT"		"スーツ"
"Valve_Hud_AUX_POWER"		"予備パワー"
"Valve_Hud_OXYGEN"		"酸素"
"Valve_Hud_FLASHLIGHT"		"フラッシュライト"
"Valve_Hud_SPRINT"		"ダッシュ"
"Valve_Hud_BONUS_PROGRESS"	"ボーナス"

"Valve_Hud_SQUAD_FOLLOWING"	"ついて来る部隊"
"Valve_Hud_SQUAD_STATIONED"	"駐屯部隊"

"Valve_HDRDEMO_LeftTitle"	"固定絞り"
"Valve_HDRDEMO_RightTitle"	"高ダイナミックレンジ"

"Valve_Hud_CamFOV"		"FOV"
"Valve_Hud_CamHeight"	"カメラの高さ"
"Valve_CamArmLength"	"アームの長さ"

"Valve_FilmDemo_FilmGrain_LeftTitle"	"フィルム粒子なし"
"Valve_FilmDemo_FilmGrain_RightTitle"	"フィルム粒子"

"Valve_FilmDemo_ColorCorrection_LeftTitle"	"色調整なし"
"Valve_FilmDemo_ColorCorrection_RightTitle"	"色調整"

// Xbox 360
"Valve_Hint_Select_Weapon_357" "%slot1% 357 マグナムを選択"
"Valve_Hint_Select_Weapon_AR2" "%slot2% パルスライフルを選択"
"Valve_Hint_Select_Weapon_Bugbait" "%slot4% フェロポッドを選択"
"Valve_Hint_Select_Weapon_Crossbow" "%slot1% クロスボウを選択"
"Valve_Hint_Select_Weapon_Crowbar" "%slot3% バールを選択"
"Valve_Hint_Select_Weapon_Frag" "%slot4% 手榴弾を選択"
"Valve_Hint_Select_Weapon_Physcannon" "%slot3% 重力銃を選択"
"Valve_Hint_Select_Weapon_Pistol" "%slot1% 9mm ピストルを選択"
"Valve_Hint_Select_Weapon_RPG" "%slot4% RPG を選択"
"Valve_Hint_Select_Weapon_Shotgun" "%slot2% ショットガンを選択"
"Valve_Hint_Select_Weapon_SMG1"	"%slot2% サブマシンガンを選択"
"Valve_Hint_Select_WEAPONUP" "%slot1% 武器を選択"
"Valve_Hint_Select_WEAPONRIGHT" "%slot2% 武器を選択"
"Valve_Hint_Select_WEAPONDOWN" "%slot3% 武器を選択"
"Valve_Hint_Select_WEAPONLEFT" "%slot4% 武器を選択"

"Valve_Hint_Alt_Weapon_SMG1" "%+attack2% SMG グレネードを発射"
"Valve_Hint_Alt_Weapon_Crossbow" "%+attack2% クロスボウスコープ"
"Valve_Hint_Alt_Weapon_AR2" "%+attack2% チャージしたパルス弾"
"Valve_Hint_Alt_Weapon_Shotgun" "%+attack% 1 発発射 %+attack2% 2 発同時発射"
"Valve_Hint_Alt_Weapon_Frag" "%+attack% 手榴弾を投げる %+attack2% 手榴弾を転がす"
"Valve_Hint_Alt_Weapon_Bugbait" "%+attack% フェロポッドを投げる %+attack2% フェロポッドをしっかり握る"
"Valve_Hint_Alt_Weapon_Physcannon" "%+attack% 対象を飛ばす %+attack2% 対象をつかむ"

"Valve_Hint_EnterVehicle"  "%+use% 乗り物に乗る"

"Commentary_PrimaryAttack"	"%+attack%： 解説を開始/中止"
"Commentary_SecondaryAttack"	"%+attack2%： 次の解説"

"game_player_joined_game"	"プレイヤー %s1 がゲームに参加しました"
"game_player_left_game"		"プレイヤー %s1 がゲームを抜けました(%s2)"	[$WIN32]
"game_player_left_game"		"プレイヤー %s1 がゲームを抜けました"	[$X360]
"game_player_joined_team"	"プレイヤー %s1 が %s2 チームに入りました"
"game_player_joined_autoteam" "プレイヤー %s1 は自動的にチーム%s2 に割り当てられました"
"game_player_changed_name"	"プレイヤー %s1 が %s2 に名前を変更しました"
"game_server_cvar_changed"	"サーバーの CVAR 値 '%s1' を %s2 に変更しました"

// Radio and chat strings can have control characters embedded to set colors.  For the control characters to be used, one must be at the start of the string.
// The control characters can be copied and pasted in notepad.
//  = 0x02 (STX) - Use team color up to the end of the player name.  This only works at the start of the string, and precludes using the other control characters.
//  = 0x03 (ETX) - Use team color from this point forward
//  = 0x04 (EOT) - Use location color from this point forward
//  = 0x05 (ENQ) - Use achievement color from this point forward
//  = 0x01 (SOH) - Use normal color from this point forward
"Achievement_Earned"	"(%s1) は実績：%s2 を獲得しました"

"game_nextmap"		"次のマップ：%s1"
"game_takesshots"	"マップの終了時にスコアボードのスクリーンショットを自動的に保存する"

"Cannot_Be_Spectator"			"このサーバーは観戦不可に設定されています。"

"Valve_DisableHTMLMOTD"		"HTMLのMOTDを無効にします。"
"Valve_UseSteamCloud"		"Steam クラウドと同期させる。"
"Valve_SteamScreenshots"	"Steam にスクリーンショットを保存"


//----------------------------------------------------------------------------------------
// Econ UI
"ValveEcon_RootUI_Title"			"アイテム管理"
"ValveEcon_RootUI_OpenStore"		"ストア"
"ValveEcon_RootUI_OpenLoadout"		"装備"
"ValveEcon_RootUI_OpenBackpack"		"バックパック"
"ValveEcon_RootUI_OpenCrafting"		"作成"
"ValveEcon_RootUI_OpenTrading"		"トレード"

//----------------------------------------------
// Econ generic attributes
"Attrib_TradableAfterDate"			"\n %s1 後トレード可能"
"Attrib_Store_TradableAfterDate"	"数日後にトレード可能になります"
"Attrib_Store_Purchased"			"トレード可能にも合成材料にもなりません"
"Attrib_Purchased"					"購入アイテム：トレードおよび作成不可"
"Attrib_Promotion"					"ストアプロモーションアイテム：トレード不可"
"Attrib_AchievementItem"			"実績アイテム：トレード不可"
"Attrib_CannotTrade"				"トレード不可"
"Attrib_CannotCraft"				"作成に使用不可"
"Attrib_SpecialItem"				"トレードおよび作成不可"
"Attrib_GifterAccountID"			"\n %s1 からのギフト"
"Attrib_ReferencedItem"				"内容： %s1"
"Attrib_CustomDesc"					"このアイテムはユーザーによる説明付きです："
"Attrib_Renamed"					"このアイテムはリネームされました。\n本来のアイテム名： \"%s1\""
"Attrib_LimitedUse"					"使用回数制限アイテム。\n残り使用回数： %s1"
"Attrib_EventDate"					"受領日： %s1"
"Attrib_InUse"						"現在使用中"
"Attrib_Community_Description"		"コミュニティへの貢献者に捧ぐ"
"Attrib_Selfmade_Description"		"私が作りました！"

//----------------------------------------------
// Econ item collection strings
// WARNING： The code MUST be able find the '：：' in this string. The second ： will be replaced by a color code for the quality.
"Item_Found"						"%s1 が %s2 %s3 を発見した"
"Item_Crafted"						"%s1 が %s2 %s3 を作成した"
"Item_Traded"						"%s1 が %s2 %s3 をトレードしました"
"Item_Purchased"					"%s1 が %s2 %s3 を購入しました"
"Item_FoundInCrate"					"%s1 が %s2 %s3 を開梱した"
"Item_Gifted"						"%s1 が %s2 %s3 をギフトとして受け取った"
"Item_Earned"						"%s1 が %s2 %s3 を獲得した"
"Item_Refunded"						"%s1 は返金されました：： %s2 %s3"
"Item_GiftWrapped"					"%s1 が ギフト用包装しました：： %s2 %s3"

"Item"					"アイテム"
"SelectedItemNumber"	"#%selecteditem%"
"NewItemsAcquired"		"%numitems% 個の新アイテムを獲得！"
"NewItemAcquired"		"新しいアイテムを獲得！"
"NewItemsCrafted"		"新しいアイテムを %numitems% 個作成した！"
"NewItemCrafted"		"新しいアイテムを作成した！"
"TF_HasNewItems"		"新しいアイテムがあります！"

// These pickup strings have control characters embedded to set colors.
// The control characters can be copied and pasted in notepad.
//  = 0x01 (SOH) - Use default color from this point forward
//  = 0x02 (STX) - Use a highlight color from this point forward
"NewItemMethod_Dropped"			"発見しました："
"NewItemMethod_Crafted"			"クラフトしました："
"NewItemMethod_Traded"			"トレードしました："
"NewItemMethod_Purchased"		"購入しました："
"NewItemMethod_FoundInCrate"	"開梱しました："
"NewItemMethod_Gifted"			"ギフトを受け取りました："
"NewItemMethod_Promotion"		"ストアのプロモーションアイテムを受け取りました："
"NewItemMethod_Earned"			"獲得しました："
"NewItemMethod_Refunded"		"返金されました："
"NewItemMethod_Support"			"カスタマーサポートから受領しました："
"NewItemMethod_Foreign"			"別のゲームから発見しました："

"NextItem"				"表示\n次へ >"
"PreviousItem"			"表示\n< 前へ"
"CloseItemPanel"		"OK、 ゲームに戻る"
"OpenGeneralLoadout"	"装備を開く..."
"OpenBackpack"			"バックパックを開く..."

//----------------------------------------------
// Econ store
"Store_Price_New"		"NEW！"
"Store_Price_Sale"		"セール！"
"Store_OK"				"OK"
"Store_CANCEL"			"キャンセル"
"Store_NowAvailable"	"配信中"

"Store_ClassFilter_None"		"すべてのアイテム"

"Store_Cart"			"(%s1)"
"Store_Checkout"		"チェックアウト"
"Store_AddToCart"		"カートに追加"

"StoreViewCartTitle"	"ショッピングカート"
"Store_ContinueShopping" "買い物を続ける"
"Store_CartItems"		"%s1 アイテム"
"Store_EstimatedTotal"	"推定合計金額"
"Store_WAStateSalesTax"	"ワシントン州在住者には消費税が計算されます"
"Store_TotalSubtextB"	"購入後、すべてのアイテムがインベントリに追加されます"
"Store_Remove"			"削除"
"Store_CartIsEmpty"		"カートにアイテムがありません。"
"Store_Wallet"			"Steam ウォレットの残高：%s1 (カート清算後、%s2 )"
"Store_Wallet_EmptyCart" "Steam ウォレットの残高：%s1"
"Store_FeaturedItem"	"おすすめアイテム！"
"Store_PreviewItem"		"プレビュー"
"Store_DetailsItem"		"詳細"
"Store_FreeBackpackSpace"	"空のバックパックスロット： %s1"

"StoreCheckout_NoItems"			"ショッピングカートが空です！"
"StoreCheckout_TooManyItems"	"ショッピングカート内のアイテムが多すぎます！"
"StoreCheckout_Loading"			"支払い処理中..."
"StoreCheckout_Unavailable"		"現在、支払い処理ができません。"
"StoreCheckout_Canceling"		"キャンセル中..."

"StoreUpdate_Loading"				"ストアをロード中..."
"StoreUpdate_NoGCResponse"			"ストアは現在閉店しています。"
"StoreUpdate_NewPriceSheetLoaded"	"製品リストは、最新バージョンに更新されました。"
"StoreUpdate_ContactSupport"		"Steam ウォレット を設定するには、カスタマーサポートにお問い合わせください。"
"StoreUpdate_OverlayRequired"		"ストアを使用するには、ゲーム内で Steam コミュニティを有効にしてからゲームを再起動する必要があります。"
"StoreUpdate_SteamRequired"			"ストアを使用するには、Steam に接続する必要があります。"

"StoreCheckout_Fail"				"ゲーム内ストアは、現在閉店しています。"
"StoreCheckout_InvalidParam"		"プログラムでエラーが発生しました！ 無効なパラメータがゲームコーディネータに渡されました。購入手続きをやり直してください。"
"StoreCheckout_InternalError"		"お取引の初期化あるいは更新の際にエラーが発生しました。後ほど購入手続きをやり直すか、サポートにご連絡ください。"
"StoreCheckout_ContactSupport"		"処理の実行中にエラーが発生しました。　Steam サポートに連絡してください。"
"StoreCheckout_NotApproved"			"Steam でのお取引が、ゲームコーディネータに承認されませんでした。後で、購入手続きをやり直してください。"
"StoreCheckout_NotLoggedin"			"購入手続きを完了するには、Steam にログインする必要があります。"
"StoreCheckout_WrongCurrency"		"このお取引で選択された通貨は、お客様の Steam ウォレットの通貨と一致していません。"
"StoreCheckout_NoAccount"			"あなたのSteam アカウントは、現在利用できません。後で、購入手続きをやり直してください。"
"StoreCheckout_InsufficientFunds"	"購入手続きを完了するのに、十分な残金がありません。"
"StoreCheckout_TimedOut"			"このお取引は、タイムアウトで無効になりました。購入手続きをやり直してください。"
"StoreCheckout_SteamAccountDisabled"	"あなたのSteam アカウントが無効になっており、購入することができません。"
"StoreCheckout_SteamAccountNoPurchase"	"この Steam アカウントでは、Steam ウォレットでのお取引ができなくなっています。"
"StoreCheckout_OldPriceSheet"			"ローカルの製品リストは、最新版ではありません。新しい製品リストを要求中です。"
"StoreCheckout_TransactionNotFound"		"ゲームコーディネータでは、このお取引の ID が見つかりませんでした。購入手続きをやり直してください。"
"StoreCheckout_TransactionCanceled"		"この取引はキャンセルされました。お客様へのご請求はありません。"
"StoreCheckout_TransactionCompleted"	"お取引が完了しました！ 存分にお楽しみください！"
"StoreCheckout_CompleteButUnfinalized"	"お取引の完了を確認できません。正常に完了した場合、ご注文のアイテムが後日配信されます。"
"StoreCheckout_NotEnoughRoom"			"購入希望のアイテムが多すぎて、バックパックの容量が不足しています。"
"StoreCheckout_ContactSupport_Dialog_Title"	"警告"
"StoreCheckout_ContactSupport_Dialog_Btn"	"問い合わせ"

//----------------------------------------------
"Econ_Back"				"戻る"

"BackpackTitle"			"バックパック"
"X_DeleteItem"			"X 削除"
"X_Delete"				"X 削除"
"X_DiscardItem"			"X 捨てる"
"DiscardItem"			"永久的に破棄する"
"DeleteConfirmTitle"	"よろしいですか？"
"ConfirmTitle"			"よろしいですか？"
"ConfirmButtonText"		"続ける"
"DeleteItemConfirmText"		"アイテムを削除すると、永久的に使えなくなります。これは元に戻せません。"
"MultiDeleteItemConfirmText"		"アイテムを削除すると、すべて永久的に使えなくなります。これは元に戻せません。"
"X_DeleteConfirmButton"	"X いいよ、削除して"
"Backpack_Delete_Item"	"バックパック - 空きがありません"
"DiscardExplanation"	"このアイテムを受け取りましたが、バックパックに空きがありません。"
"DiscardExplanation2"	"下のアイテムを1つ削除して空きを作るか、捨てるを押して、拾ったアイテムを捨ててください。"
"DeleteConfirmDefault"	"削除しますか？"
"Discarded"				"捨てました！"
"ItemPanelEquipped"		"装備中"

"BackpackApplyTool"		"%s1 を適用するアイテムを選択："
"ApplyOnItem"			"適用対象..."
"ConsumeItem"			"使用する"
"RefurbishItem"			"元に戻す"
"CustomizeItem"			"カスタマイズ"
"ShowBaseItems"			"ストックアイテム"
"ShowBackpackItems"		"スペシャルアイテム"
"ShowBaseItemsCheckBox"	"ストックアイテムを表示"
"ShowDuplicateItemsCheckbox"	"重複アイテムを表示"
"WrapGift"				"ギフト包装する"
"UnwrapGift"			"ギフトを開封する"
"DeliverGift"			"ギフトをお届け"
"NoAction"				"実行しない"
"Style"					"スタイルを設定する"
"TF_Item_SelectStyle"	"スタイルを選択する"

"RefurbishItem_RemovePaintTitle"	"ペイントを削除？"
"RefurbishItem_RemovePaint"			"このアイテムのカスタムカラーを取り除き、オリジナルカラーに戻しますか？\n\n(ペイントは破棄されます)"

"RefurbishItem_RemoveNameTitle"		"名前を削除？"
"RefurbishItem_RemoveName"			"このアイテムのカスタム名を削除し、元の名前に戻しますか？\n\n(ネームタグは破棄されます)"

"RefurbishItem_RemoveDescTitle"		"説明を削除？"
"RefurbishItem_RemoveDesc"			"このアイテムから説明を削除し、元々の説明に戻しますか？\n\n(説明タグは廃棄されます)"

"RefurbishItem_Yes"					"はい、どーぞ"
"RefurbishItem_No"					"やっぱ、やめとく"

"ToolConfirmWarning"	"道具は一度使用するとなくなります！"

"ToolItemRenameOldItemName"	"現在のアイテム名："
"ToolItemRenameNewItemName"	"新しいアイテム名："

"ToolItemRenameOldItemDesc"	"現在のアイテム説明："
"ToolItemRenameNewItemDesc"	"新しいアイテム説明："

// This string has control characters embedded to set colors.
// The control characters can be copied and pasted in notepad.
//  = 0x01 (SOH) - Use normal color from this point forward
//  = 0x02 (STX) - Use item one color from this point forward
//  = 0x03 (ETX) - Use item two color from this point forward
"ToolDialogTitle"			"%s2 に %s1 を使用中"

// Item naming
"CraftAskName"			"このアイテムの新しい名前を入力："
"CraftNameOk"			"名前決定！"
"CraftDescribeOk"		"説明してください！"
"CraftNameCancel"		"やめておく"
"CraftAskNameConfirm"	"この名前を使用しますか？"
"CraftAskNameWarning"	"(この名前は一般公開され、変更はできません)"
"CraftNameConfirm"		"これで OK！"
"CraftInvalidName"		"無効な名前です！"
"CraftInvalidNameDetail"	"使用できるのは英数字とスペースのみです"

// Item painting
"ToolPaintConfirm"			"アイテムをこの色でペイントしますか？"
"ToolPaintConfirmWarning"	"(この色は一般公開され、変更はできません)"
"ToolDecodeConfirm"			"本当にこの箱を開きますか？"

"ToolDecodeInProgress"		"戦利品を開梱中"
"ToolGiftWrapConfirm"			  "本当にこのアイテムをギフト用に包装しますか？"
"ToolGiftWrapInProgress"		"ギフトを包装しています"
"ToolGiftUnwrapInProgress"		  "ギフトを開けています"

"ToolNoTargetItems"		"このツールを使用できるアイテムを持っていません。"

"BackpackShowDetails"		"詳細"
"Backpack_SortBy_Header"	"バックパックを並べ替え"
"Backpack_SortBy_Rarity"	"希少性で並び替え"
"Backpack_SortBy_Type"		"タイプで並べ替え"
